source_section,target_section,source_metric,target_metric,best_lag_quarters,timing,best_corr,best_observations,best_r_squared,best_abs_lag_quarters,best_abs_corr,status,signal_class,map_eligible,interpretation
Hyperscalers,components,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.821664417355185,26,0.6751324147476356,-3,0.821664417355185,ok,strong,True,"target revenue leads; best positive lag -3Q, corr 0.82, n=26. Strongest absolute relation is lag -3Q, corr 0.82."
Hyperscalers,OSAT / packiging,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.8007983484811106,25,0.6412779949300743,-3,0.8007983484811106,ok,strong,True,"target revenue leads; best positive lag -3Q, corr 0.80, n=25. Strongest absolute relation is lag -3Q, corr 0.80."
Hyperscalers,DRAM,capex_yoy_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,0.7603482442028036,26,0.5781294524622862,-2,0.7603482442028036,ok,strong,True,"target revenue leads; best positive lag -2Q, corr 0.76, n=26. Strongest absolute relation is lag -2Q, corr 0.76."
Hyperscalers,Server OEM,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.7430649124882963,26,0.5521454641712394,-3,0.7430649124882963,ok,strong,True,"target revenue leads; best positive lag -3Q, corr 0.74, n=26. Strongest absolute relation is lag -3Q, corr 0.74."
HW equipment,Energy,capex_yoy_pct,revenue_usd_m_yoy_pct,3,source capex leads,0.7424200816305824,18,0.5511875776083606,3,0.7424200816305824,ok,strong,True,"source capex leads; best positive lag +3Q, corr 0.74, n=18. Strongest absolute relation is lag +3Q, corr 0.74."
Hyperscalers,AI Chip,capex_yoy_pct,revenue_usd_m_yoy_pct,0,synchronous,0.7323823418405592,29,0.5363838946398617,0,0.7323823418405592,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.73, n=29. Strongest absolute relation is lag +0Q, corr 0.73."
Hyperscalers,AI Software,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.712434180014919,25,0.50756246085353,-3,0.712434180014919,ok,strong,True,"target revenue leads; best positive lag -3Q, corr 0.71, n=25. Strongest absolute relation is lag -3Q, corr 0.71."
Hyperscalers,Server Networking,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.6928262008283519,26,0.4800081445542478,-3,0.6928262008283519,ok,strong,True,"target revenue leads; best positive lag -3Q, corr 0.69, n=26. Strongest absolute relation is lag -3Q, corr 0.69."
Server Networking,HW equipment,capex_yoy_pct,revenue_usd_m_yoy_pct,0,synchronous,0.6748267930112586,8,0.45539120056586,0,0.6748267930112586,ok,strong,True,"synchronous; best positive lag +0Q, corr 0.67, n=8. Strongest absolute relation is lag +0Q, corr 0.67."
AI Platforms,HW equipment,capex_yoy_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,0.6381037015713754,27,0.4071763339590909,-3,0.6381037015713754,ok,moderate,True,"target revenue leads; best positive lag -3Q, corr 0.64, n=27. Strongest absolute relation is lag -3Q, corr 0.64."
Hyperscalers,Server EMS,capex_yoy_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,0.6294959135776217,25,0.39626510521092456,-4,0.6294959135776217,ok,moderate,True,"target revenue leads; best positive lag -4Q, corr 0.63, n=25. Strongest absolute relation is lag -4Q, corr 0.63."
