source_section,target_section,source_metric,target_metric,lag_quarters,timing,lag_interpretation,observations,corr,r_squared,beta_revenue_yoy_per_1_capex_change,status
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,AI Platforms revenue leads AI Chip capex by 4 quarter(s),5,-0.32296167147814686,0.10430424124395846,-0.0009737099152663962,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,AI Platforms revenue leads AI Chip capex by 3 quarter(s),5,0.5915370927797131,0.3499161321342749,0.0017357163910406016,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,AI Platforms revenue leads AI Chip capex by 2 quarter(s),5,0.7325279826320049,0.5365972453389148,0.0021199069397225263,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,-1,target revenue leads,AI Platforms revenue leads AI Chip capex by 1 quarter(s),5,-0.4462198574043417,0.19911216114195107,-0.0036374388145377855,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,0,synchronous,AI Chip capex and AI Platforms revenue move in the same quarter,5,-0.014104591640469562,0.00019893950534440386,-0.00011510976970035532,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,1,source capex leads,AI Chip capex leads AI Platforms revenue by 1 quarter(s),5,0.23726048671256966,0.056292538555085446,0.00521323100067472,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,2,source capex leads,AI Chip capex leads AI Platforms revenue by 2 quarter(s),5,0.21770334858249202,0.04739474798403003,0.006407482925643908,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,3,source capex leads,AI Chip capex leads AI Platforms revenue by 3 quarter(s),5,0.7179115578518283,0.5153970048972389,0.023447905670704015,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,4,source capex leads,AI Chip capex leads AI Platforms revenue by 4 quarter(s),4,0.941158743162014,0.8857797798303018,0.020990466254468806,exploratory_low_n_qoq_source
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,5,source capex leads,AI Chip capex leads AI Platforms revenue by 5 quarter(s),3,,,,insufficient_observations
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,6,source capex leads,AI Chip capex leads AI Platforms revenue by 6 quarter(s),2,,,,insufficient_observations
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,7,source capex leads,AI Chip capex leads AI Platforms revenue by 7 quarter(s),1,,,,insufficient_observations
AI Chip,AI Platforms,capex_qoq_pct,revenue_usd_m_yoy_pct,8,source capex leads,AI Chip capex leads AI Platforms revenue by 8 quarter(s),0,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,AI Software revenue leads AI Chip capex by 4 quarter(s),5,-0.3840859088732301,0.14752198539497519,-0.01596284283621236,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,AI Software revenue leads AI Chip capex by 3 quarter(s),5,-0.4457886475055583,0.19872751824483492,-0.022072342058178467,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,AI Software revenue leads AI Chip capex by 2 quarter(s),5,-0.559947868678842,0.3135416156379777,-0.025025288412904977,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,-1,target revenue leads,AI Software revenue leads AI Chip capex by 1 quarter(s),5,-0.9829292066705287,0.9661498253259551,-0.03854097945214898,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,0,synchronous,AI Chip capex and AI Software revenue move in the same quarter,5,0.3065952255976589,0.09400063235927936,0.01824361489404738,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,1,source capex leads,AI Chip capex leads AI Software revenue by 1 quarter(s),4,0.24732882976896683,0.06117155003488658,0.014957144887103825,exploratory_low_n_qoq_source
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,2,source capex leads,AI Chip capex leads AI Software revenue by 2 quarter(s),3,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,3,source capex leads,AI Chip capex leads AI Software revenue by 3 quarter(s),2,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,4,source capex leads,AI Chip capex leads AI Software revenue by 4 quarter(s),1,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,5,source capex leads,AI Chip capex leads AI Software revenue by 5 quarter(s),0,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,6,source capex leads,AI Chip capex leads AI Software revenue by 6 quarter(s),0,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,7,source capex leads,AI Chip capex leads AI Software revenue by 7 quarter(s),0,,,,insufficient_observations
AI Chip,AI Software,capex_qoq_pct,revenue_usd_m_yoy_pct,8,source capex leads,AI Chip capex leads AI Software revenue by 8 quarter(s),0,,,,insufficient_observations
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,CPU revenue leads AI Chip capex by 4 quarter(s),5,-0.04669141317542775,0.002180088064318508,-0.00039667041867620325,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,CPU revenue leads AI Chip capex by 3 quarter(s),5,-0.696979673306249,0.48578066500208555,-0.00820839802388042,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,CPU revenue leads AI Chip capex by 2 quarter(s),5,-0.8165037450852007,0.6666783657381584,-0.007323320448795902,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,-1,target revenue leads,CPU revenue leads AI Chip capex by 1 quarter(s),5,-0.20369871022612027,0.041493164547784914,-0.0009417439289002948,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,0,synchronous,AI Chip capex and CPU revenue move in the same quarter,5,-0.9056716047705724,0.8202410556877039,-0.0041072462688398715,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,1,source capex leads,AI Chip capex leads CPU revenue by 1 quarter(s),5,0.368468722375695,0.135769199369177,0.010528558553473122,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,2,source capex leads,AI Chip capex leads CPU revenue by 2 quarter(s),5,0.37157157177317884,0.1380654329499906,0.012674365354929617,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,3,source capex leads,AI Chip capex leads CPU revenue by 3 quarter(s),4,0.48098411458272783,0.23134571848093066,0.015607638167659555,exploratory_low_n_qoq_source
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,4,source capex leads,AI Chip capex leads CPU revenue by 4 quarter(s),3,,,,insufficient_observations
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,5,source capex leads,AI Chip capex leads CPU revenue by 5 quarter(s),2,,,,insufficient_observations
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,6,source capex leads,AI Chip capex leads CPU revenue by 6 quarter(s),1,,,,insufficient_observations
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,7,source capex leads,AI Chip capex leads CPU revenue by 7 quarter(s),0,,,,insufficient_observations
AI Chip,CPU,capex_qoq_pct,revenue_usd_m_yoy_pct,8,source capex leads,AI Chip capex leads CPU revenue by 8 quarter(s),0,,,,insufficient_observations
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,Cooling revenue leads AI Chip capex by 4 quarter(s),5,-0.4594221384979746,0.21106870134205213,-0.02235861464921479,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,Cooling revenue leads AI Chip capex by 3 quarter(s),5,-0.3528830376682781,0.12452643827399139,-0.0174192103537925,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,Cooling revenue leads AI Chip capex by 2 quarter(s),5,-0.504678240475889,0.2547001264098393,-0.02606570794034778,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,-1,target revenue leads,Cooling revenue leads AI Chip capex by 1 quarter(s),5,-0.2501963479500561,0.06259821252754554,-0.011055200401562654,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,0,synchronous,AI Chip capex and Cooling revenue move in the same quarter,5,0.662018740470901,0.4382688127346782,0.035106727345019115,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,1,source capex leads,AI Chip capex leads Cooling revenue by 1 quarter(s),5,0.7865945435580718,0.6187309759553313,0.04695130615394214,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,2,source capex leads,AI Chip capex leads Cooling revenue by 2 quarter(s),5,0.24192566374427618,0.05852802677810859,0.011126213387825169,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,3,source capex leads,AI Chip capex leads Cooling revenue by 3 quarter(s),4,0.7659149783508424,0.5866257540621714,0.03520388305470577,exploratory_low_n_qoq_source
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,4,source capex leads,AI Chip capex leads Cooling revenue by 4 quarter(s),3,,,,insufficient_observations
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,5,source capex leads,AI Chip capex leads Cooling revenue by 5 quarter(s),2,,,,insufficient_observations
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,6,source capex leads,AI Chip capex leads Cooling revenue by 6 quarter(s),1,,,,insufficient_observations
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,7,source capex leads,AI Chip capex leads Cooling revenue by 7 quarter(s),0,,,,insufficient_observations
AI Chip,Cooling,capex_qoq_pct,revenue_usd_m_yoy_pct,8,source capex leads,AI Chip capex leads Cooling revenue by 8 quarter(s),0,,,,insufficient_observations
AI Chip,DRAM,capex_qoq_pct,revenue_usd_m_yoy_pct,-4,target revenue leads,DRAM revenue leads AI Chip capex by 4 quarter(s),5,-0.3002532903439811,0.09015203836238703,-97.33542307340349,exploratory_low_n_qoq_source
AI Chip,DRAM,capex_qoq_pct,revenue_usd_m_yoy_pct,-3,target revenue leads,DRAM revenue leads AI Chip capex by 3 quarter(s),5,-0.36855946245234905,0.1358360773631645,-251.18195629551192,exploratory_low_n_qoq_source
AI Chip,DRAM,capex_qoq_pct,revenue_usd_m_yoy_pct,-2,target revenue leads,DRAM revenue leads AI Chip capex by 2 quarter(s),5,-0.4952281078875912,0.24525087884192368,-436.64094640659414,exploratory_low_n_qoq_source
AI Chip,DRAM,capex_qoq_pct,revenue_usd_m_yoy_pct,-1,target revenue leads,DRAM revenue leads AI Chip capex by 1 quarter(s),5,-0.7572223497009873,0.5733856868866843,-683.8624234934064,exploratory_low_n_qoq_source
AI Chip,DRAM,capex_qoq_pct,revenue_usd_m_yoy_pct,0,synchronous,AI Chip capex and DRAM revenue move in the same quarter,5,-0.2644468066231845,0.06993211353319993,-238.81838349149845,exploratory_low_n_qoq_source
