section,master_companies,financial_rows,observed_companies,first_quarter,last_quarter,revenue_rows,cost_of_revenue_rows,capex_rows,inventory_rows,operating_income_rows,net_income_rows,quarters,revenue_yoy_obs,cost_of_revenue_yoy_obs,capex_yoy_obs,inventory_yoy_obs,operating_income_yoy_obs,net_income_yoy_obs
Energy,18,289,16,2016-Q1,2026-Q1,283,71,126,206,249,287,34,30,26,30,30,30,30
Server Networking,15,327,14,2016-Q1,2027-Q1,327,293,131,326,320,326,36,32,32,17,32,32,32
HW equipment,14,212,9,2016-Q1,2026-Q3,212,179,100,212,179,210,35,31,31,24,31,31,31
components,14,201,13,2016-Q1,2026-Q2,194,182,98,197,200,200,34,30,30,14,30,30,30
AI Platforms,9,236,9,2016-Q1,2027-Q1,227,227,110,32,205,236,35,31,31,31,28,31,31
Server OEM,9,118,8,2016-Q1,2027-Q1,118,85,54,117,116,117,37,33,33,15,33,32,33
meterier,8,94,4,2016-Q1,2026-Q1,85,63,27,91,94,94,33,28,28,12,28,29,29
Server ODM,7,35,7,2024-Q4,2025-Q4,35,35,35,35,35,35,5,1,1,1,1,1,1
Hyperscalers,6,138,6,2016-Q1,2026-Q3,135,48,96,98,135,135,34,30,29,29,29,30,30
OSAT / packiging,6,57,6,2016-Q1,2026-Q1,57,57,37,57,57,57,33,29,29,13,29,29,29
AI Chip,5,120,5,2016-Q1,2027-Q1,118,86,44,118,118,118,36,32,32,14,32,32,32
Server EMS,5,82,5,2016-Q1,2026-Q3,82,82,39,82,63,82,35,31,31,13,31,31,31
Cooling,4,88,4,2016-Q1,2026-Q3,88,38,36,88,88,88,35,31,30,12,31,31,31
DRAM,3,43,3,2016-Q1,2026-Q1,43,42,22,42,42,42,32,28,28,12,28,28,28
NAND,3,68,2,2016-Q1,2026-Q3,59,26,24,68,68,68,34,30,25,10,30,30,30
Neocloud,3,17,3,2025-Q1,2026-Q3,17,10,13,0,17,17,7,3,1,1,0,3,3
AI Software,2,38,2,2016-Q1,2026-Q1,37,6,13,1,37,37,32,28,5,11,1,28,28
CPU,2,42,2,2016-Q1,2026-Q3,42,41,15,31,42,41,34,30,30,10,27,30,30
foundry,2,7,2,2024-Q3,2026-Q1,7,6,5,6,6,6,7,3,2,2,2,2,2
SW equipment,1,33,1,2016-Q1,2026-Q2,33,33,12,24,33,33,33,29,29,10,24,29,29
