calendar_quarter,quarter_period,capex_investment_usd_m,capex_valid_companies,revenue_usd_m,revenue_usd_m_valid_companies,capex_yoy_pct,revenue_usd_m_yoy_pct
2016-Q1,2016Q1,5281.0,4,71772.0,4,,
2016-Q2,2016Q2,5218.0,3,76980.0,4,,
2016-Q3,2016Q3,4969.0,3,75089.0,4,,
2017-Q1,2017Q1,5425.0,4,78212.0,4,,
2017-Q2,2017Q2,4160.0,2,84693.0,4,-0.21227040333270208,0.18002842334057845
2017-Q3,2017Q3,4862.0,2,84708.0,4,-0.06822537370640092,0.10038971161340604
2018-Q1,2018Q1,4970.0,3,90987.0,4,0.00020124773596297274,0.21172208978678642
2018-Q2,2018Q2,4819.0,2,98826.0,4,-0.11170506912442402,0.2635656932440036
2018-Q3,2018Q3,8307.0,3,103933.0,4,0.996875,0.22717343818261249
2019-Q1,2019Q1,13002.0,4,115830.0,4,1.67420814479638,0.36740331491712697
2019-Q2,2019Q2,11306.0,3,124050.0,4,1.2748490945674043,0.3633815819842394
2019-Q3,2019Q3,11568.0,3,126811.0,4,1.4004980286366466,0.28317446825734116
2020-Q1,2020Q1,11913.0,4,134316.0,4,0.4340917298663778,0.2923325603994882
2020-Q2,2020Q2,13395.0,3,144381.0,4,0.030226119058606393,0.24649054649054647
2020-Q3,2020Q3,13994.0,3,150665.0,4,0.23774986732708303,0.21455058444175745
2021-Q1,2021Q1,16571.0,4,158884.0,4,0.4324861687413555,0.2529196993951628
2021-Q2,2021Q2,11004.0,2,173729.0,4,-0.07630319818685471,0.2934348848982995
2021-Q3,2021Q3,14830.0,2,187135.0,4,0.10712952594251579,0.29611929547516636
2022-Q1,2022Q1,23367.0,4,210353.0,4,0.66978705159354,0.396163674376929
2022-Q2,2022Q2,18462.0,2,227836.0,4,0.11411502021604014,0.4339769895017749
2022-Q3,2022Q3,20837.0,2,227721.0,4,0.8935841512177389,0.310782885989098
2023-Q1,2023Q1,31609.0,4,239500.0,4,1.1314227916385704,0.279824725465573
2023-Q2,2023Q2,21589.0,2,253007.0,4,-0.07609021269311422,0.20277343322890573
2023-Q3,2023Q3,21718.0,2,256066.0,4,0.1763622576102264,0.12390491406099113
2024-Q1,2024Q1,28498.0,4,258712.0,4,0.36766329126073805,0.13609197219404456
2024-Q2,2024Q2,17729.0,2,274009.0,4,-0.4391154418045493,0.14408768267223393
2024-Q3,2024Q3,19086.0,2,285031.0,4,-0.11593867247209222,0.12657357306319583
2025-Q1,2025Q1,38168.0,4,529276.0,5,0.7574362280136293,1.0669514890692242
2025-Q2,2025Q2,27355.0,2,739836.0,6,-0.04010807775984282,1.8596895389467827
2025-Q3,2025Q3,33572.0,2,570078.0,5,0.8936206215804614,1.080508304471751
2025-Q4,2025Q4,109282.0,4,709389.0,5,4.725767578329665,1.4888134974792218
2026-Q1,2026Q1,134626.0,5,322272.0,3,2.5271955564871096,-0.39110785299163386
2026-Q2,2026Q2,15804.0,1,83691.0,2,-0.4222628404313654,-0.8868789839910467
2026-Q3,2026Q3,0.0,0,14130.0,1,,-0.9752139180954186
