section,target_metric,target_metric_label,target_transform,lag_quarters,lag_interpretation,observations,corr,r_squared,beta_target_per_1_capex_yoy
AI Chip,revenue_usd_m,Revenue,YoY %,-4,Target leads hyperscaler capex by 4 quarter(s),25,-0.4024455613336905,0.16196242983718925,-0.1853578435561704
AI Chip,revenue_usd_m,Revenue,YoY %,-3,Target leads hyperscaler capex by 3 quarter(s),26,-0.10866138021925648,0.011807295551153823,-0.05154647357774755
AI Chip,revenue_usd_m,Revenue,YoY %,-2,Target leads hyperscaler capex by 2 quarter(s),27,-0.10165128819412451,0.010332984391524958,-0.10827003056233074
AI Chip,revenue_usd_m,Revenue,YoY %,-1,Target leads hyperscaler capex by 1 quarter(s),28,0.4472620212606246,0.2000433156621394,0.4722960802004467
AI Chip,revenue_usd_m,Revenue,YoY %,0,Same quarter,29,0.7323823418405592,0.5363838946398617,0.7607122331604349
AI Chip,revenue_usd_m,Revenue,YoY %,1,Hyperscaler capex leads target by 1 quarter(s),29,0.06143599233562102,0.0037743811542624846,0.06462399176840143
AI Chip,revenue_usd_m,Revenue,YoY %,2,Hyperscaler capex leads target by 2 quarter(s),29,-0.07759730834026696,0.0060213422616544636,-0.0836316119437617
AI Chip,revenue_usd_m,Revenue,YoY %,3,Hyperscaler capex leads target by 3 quarter(s),28,-0.11264771864330943,0.012689508515542203,-0.12300924452610036
AI Chip,revenue_usd_m,Revenue,YoY %,4,Hyperscaler capex leads target by 4 quarter(s),27,-0.4999171171443608,0.24991712401392857,-0.27636705744197093
AI Chip,revenue_usd_m,Revenue,YoY %,5,Hyperscaler capex leads target by 5 quarter(s),26,-0.29232841710470314,0.0854559034469413,-0.6144711650703548
AI Chip,revenue_usd_m,Revenue,YoY %,6,Hyperscaler capex leads target by 6 quarter(s),25,-0.3894545340709171,0.15167483410839513,-0.8289577442088021
AI Chip,revenue_usd_m,Revenue,YoY %,7,Hyperscaler capex leads target by 7 quarter(s),24,-0.18685543927727555,0.03491495518750361,-0.40025024665464154
AI Chip,revenue_usd_m,Revenue,YoY %,8,Hyperscaler capex leads target by 8 quarter(s),23,-0.0014708120149927882,2.163287983447146e-06,-0.0030897075107703524
AI Chip,gross_profit_usd_m,Gross profit,YoY %,-4,Target leads hyperscaler capex by 4 quarter(s),25,-0.3315525028788167,0.10992706216520777,-0.42197310140822636
AI Chip,gross_profit_usd_m,Gross profit,YoY %,-3,Target leads hyperscaler capex by 3 quarter(s),26,-0.18694124713500215,0.03494702988038995,-0.23837038912919112
AI Chip,gross_profit_usd_m,Gross profit,YoY %,-2,Target leads hyperscaler capex by 2 quarter(s),27,-0.13304237186356585,0.017700272711083338,-0.4820919927991782
AI Chip,gross_profit_usd_m,Gross profit,YoY %,-1,Target leads hyperscaler capex by 1 quarter(s),28,0.4447533719463647,0.19780556185766143,1.5985126790114572
AI Chip,gross_profit_usd_m,Gross profit,YoY %,0,Same quarter,29,0.7686059653676066,0.5907551299986705,2.7281342913634834
AI Chip,gross_profit_usd_m,Gross profit,YoY %,1,Hyperscaler capex leads target by 1 quarter(s),29,0.08627773705816691,0.0074438479118781875,0.3069842144849273
AI Chip,gross_profit_usd_m,Gross profit,YoY %,2,Hyperscaler capex leads target by 2 quarter(s),29,-0.08087815723039152,0.006541276316983932,-0.2896288245075626
AI Chip,gross_profit_usd_m,Gross profit,YoY %,3,Hyperscaler capex leads target by 3 quarter(s),28,-0.05304198694463914,0.0028134523790352686,-0.19296446187113148
AI Chip,gross_profit_usd_m,Gross profit,YoY %,4,Hyperscaler capex leads target by 4 quarter(s),27,-0.3698039738590577,0.13675497908195064,-0.5080786313331899
AI Chip,gross_profit_usd_m,Gross profit,YoY %,5,Hyperscaler capex leads target by 5 quarter(s),26,-0.282350574880724,0.07972184713547534,-1.9771334685240913
