source_section,target_section,source_metric,target_metric,best_lag_quarters,best_timing,best_corr,best_observations,best_abs_lag_quarters,best_abs_corr,abs_best_corr
AI Software,DRAM,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9999999946910324,5,0,0.9999999946910324,0.9999999946910324
AI Software,components,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9999996647358289,5,1,0.9999996647358289,0.9999996647358289
AI Software,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.9999982426798874,5,-1,0.9999982426798874,0.9999982426798874
CPU,components,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9999928156713329,28,1,0.9999928156713329,0.9999928156713329
AI Software,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.9999902355410987,5,3,0.9999902355410987,0.9999902355410987
AI Software,CPU,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9999890208227568,5,1,0.9999890208227568,0.9999890208227568
components,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9999816080114224,30,2,0.9999816080114224,0.9999816080114224
CPU,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.999972410101723,28,3,0.999972410101723,0.999972410101723
AI Software,HW equipment,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,0.9999332014400253,5,-5,0.9999332014400253,0.9999332014400253
AI Software,Cooling,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,0.9999240697387973,5,1,0.9999240697387973,0.9999240697387973
AI Software,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.9998224609343807,5,3,0.9998224609343807,0.9998224609343807
AI Software,Energy,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,0.9996875884057197,5,-2,0.9996875884057197,0.9996875884057197
components,Cooling,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9996173846564315,30,0,0.9996173846564315,0.9996173846564315
CPU,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,0.9991613679581273,28,3,0.9991613679581273,0.9991613679581273
components,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9991500055157219,30,2,0.9991500055157219,0.9991500055157219
Server Networking,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9990644365015792,32,0,0.9990644365015792,0.9990644365015792
AI Software,Server OEM,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,0.9989500586755333,5,-8,0.9989500586755333,0.9989500586755333
AI Software,OSAT / packiging,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9987491946478534,5,0,0.9987491946478534,0.9987491946478534
components,CPU,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9982042238420553,29,0,0.9982042238420553,0.9982042238420553
components,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9968481116111302,30,0,0.9968481116111302,0.9968481116111302
Server EMS,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9967239413570952,30,2,0.9967239413570952,0.9967239413570952
Server EMS,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.996595901770646,30,0,0.996595901770646,0.996595901770646
Server EMS,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9963416565468072,30,2,0.9963416565468072,0.9963416565468072
AI Chip,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.99584019559325,32,0,0.99584019559325,0.99584019559325
AI Software,Hyperscalers,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.9946508993549368,5,-4,-0.9993926842752889,0.9946508993549368
Cooling,components,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,0.994593545682386,29,0,0.994593545682386,0.994593545682386
Cooling,Server Networking,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9945439863715889,29,2,0.9945439863715889,0.9945439863715889
Cooling,AI Chip,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,0.9941311020908775,29,2,0.9941311020908775,0.9941311020908775
Hyperscalers,Server EMS,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,0.9927881487981703,28,-1,0.9927881487981703,0.9927881487981703
