source_section,target_section,source_metric,target_metric,lag_quarters,timing,observations,corr,r_squared,beta_target_per_1_source
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-8,target leads,23,-0.050402883491505006,0.002540450664258228,-0.0006449507283942151
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-7,target leads,24,-0.17571274537086953,0.03087496888576803,-0.0022761319350890078
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-6,target leads,25,-0.20476695689160473,0.04192950663464831,-0.0026917704831642404
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-5,target leads,26,-0.04633170753035782,0.0021466271226786154,-0.0006087624373668991
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-4,target leads,27,-0.4945264595724411,0.24455641921725324,-0.007362474098571711
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-3,target leads,28,-0.03291873747148021,0.0010836432767162354,-0.0004897001603647338
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-2,target leads,29,0.9243173315127577,0.8543625293348653,0.039203503235485514
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,-1,target leads,30,0.867785548885379,0.7530517588542984,0.0739586687772036
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,0,same quarter,31,0.7607925027166395,0.5788052321898478,0.09691826124932199
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,1,source leads,30,0.5143910429734516,0.26459814509131535,0.6990629569127211
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,2,source leads,29,0.5736876532279012,0.3291175234661366,0.7919142229487924
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,3,source leads,28,0.34150602193120394,0.11662636301527594,0.5069675506050784
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,4,source leads,27,-0.24365604667070595,0.05936826907919723,-0.44410741227664124
AI Chip,AI Platforms,cost_of_revenue_usd_m,revenue_usd_m,5,source leads,26,-0.20340494373479026,0.04137357113575319,-0.37858577720001596
