section,quarter_period,capex_investment_usd_m,capex_valid_companies,total_companies,revenue_usd_m,revenue_usd_m_valid_companies,gross_profit_usd_m,gross_profit_usd_m_valid_companies,cost_of_revenue_usd_m,cost_of_revenue_usd_m_valid_companies,operating_income_usd_m,operating_income_usd_m_valid_companies,net_income_usd_m,net_income_usd_m_valid_companies,inventory_usd_m,inventory_usd_m_valid_companies,calendar_quarter,capex_yoy_current_ratio,revenue_usd_m_yoy_current_ratio,gross_profit_usd_m_yoy_current_ratio,cost_of_revenue_usd_m_yoy_current_ratio,operating_income_usd_m_yoy_current_ratio,net_income_usd_m_yoy_current_ratio,inventory_usd_m_yoy_current_ratio
AI Chip,2016Q1,304.0,3,3,9232.0,3,930.0,2,1203.0,2,2078.0,3,1929.0,3,2653.0,3,2016-Q1,,,,,,,
AI Chip,2016Q2,0.0,0,3,8939.0,3,851.0,2,1194.0,2,1362.0,3,1000.0,3,2653.0,3,2016-Q2,,,,,,,
AI Chip,2016Q3,0.0,0,3,8118.0,3,915.0,2,1371.0,2,1290.0,3,1160.0,3,2653.0,3,2016-Q3,,,,,,,
AI Chip,2017Q1,184.0,3,3,7758.0,3,922.0,2,1061.0,2,1793.0,3,1523.0,3,2725.0,3,2017-Q1,,,,,,,
AI Chip,2017Q2,0.0,0,3,7731.0,3,953.0,2,1227.0,2,1483.0,3,1259.0,3,2725.0,3,2017-Q2,,-0.19415340835596948,0.024134312696747113,0.019559902200488997,-0.4012137559002023,-0.5321683876092137,0.026422018348623854
AI Chip,2017Q3,0.0,0,3,8656.0,3,793.0,2,1819.0,2,1544.0,3,1284.0,3,2725.0,3,2017-Q3,,-0.03269408502772643,-0.07313997477931904,0.3435953820780649,0.11787564766839378,0.22118380062305296,0.026422018348623854
AI Chip,2018Q1,207.0,3,3,8482.0,3,1129.0,2,1354.0,2,1034.0,3,857.0,3,3523.0,3,2018-Q1,1.0,0.042914406979485974,0.18954827280779452,-0.012555391432791729,-0.24758220502901354,-0.35355892648774795,0.24694862333238718
AI Chip,2018Q2,0.0,0,3,7595.0,3,1212.0,2,1367.0,2,1045.0,3,968.0,3,3523.0,3,2018-Q2,,-0.021461487820934825,0.23927392739273928,0.2238478419897586,-0.7157894736842105,-0.5733471074380165,0.22651149588418962
AI Chip,2018Q3,0.0,0,3,8959.0,3,1754.0,2,1834.0,2,1531.0,3,1469.0,3,3523.0,3,2018-Q3,,0.13706886929344794,0.4566704675028506,0.33097055616139587,0.031352057478772045,0.14295439074200136,0.22651149588418962
AI Chip,2019Q1,326.0,3,3,8940.0,3,1747.0,2,1837.0,2,1432.0,3,1444.0,3,3334.0,3,2019-Q1,1.0,0.031767337807606266,0.546078992558672,0.00979858464888405,-0.0782122905027933,0.11080332409972299,0.18266346730653868
AI Chip,2019Q2,0.0,0,3,9206.0,3,1954.0,2,2032.0,2,1241.0,3,1029.0,3,3334.0,3,2019-Q2,,0.07864436237236584,0.42221084953940635,0.33366141732283466,0.16680096696212732,0.16715257531584063,-0.05668866226754649
AI Chip,2019Q3,0.0,0,3,9866.0,3,2230.0,2,2059.0,2,1948.0,3,2142.0,3,3334.0,3,2019-Q3,,0.23018447192377864,0.4565022421524664,0.3360854783875668,0.4635523613963039,0.5480859010270775,-0.05668866226754649
AI Chip,2020Q1,332.0,3,3,9321.0,3,2589.0,2,1890.0,2,2043.0,3,2328.0,3,3957.0,3,2020-Q1,1.0,0.038837034652934234,0.32251834685206643,0.02962962962962963,0.25061184532550174,0.36898625429553267,0.1096790497851908
AI Chip,2020Q2,0.0,0,3,9636.0,3,2596.0,2,2058.0,2,2156.0,3,1799.0,3,3957.0,3,2020-Q2,,0.0722291407222914,0.32704160246533126,0.10738581146744412,0.3358070500927644,0.19733185102834908,0.15744250694970938
AI Chip,2020Q3,0.0,0,3,14617.0,3,2698.0,2,2284.0,2,6561.0,3,3499.0,3,3957.0,3,2020-Q3,,0.37018540056099064,0.27575982209043737,0.11033274956217162,0.8108520042676421,0.7059159759931409,0.15744250694970938
AI Chip,2021Q1,351.0,2,2,6863.0,2,818.0,1,968.0,1,1207.0,2,1087.0,2,3997.0,2,2021-Q1,1.0,-0.4375637476322308,-1.726161369193154,-1.1270661157024793,-0.6139188069594035,-0.9705611775528978,0.16587440580435325
AI Chip,2021Q2,0.0,0,2,7148.0,2,848.0,1,1084.0,1,1164.0,2,625.0,2,3997.0,2,2021-Q2,,-0.3040011191941802,-2.053066037735849,-0.7435424354243543,-0.7551546391752577,-2.7248,0.010007505629221916
AI Chip,2021Q3,0.0,0,3,10708.0,3,3146.0,2,2669.0,2,2158.0,3,2134.0,3,4976.0,3,2021-Q3,,0.1001120657452372,0.17482517482517482,0.22892469089546646,0.0009267840593141798,0.1569821930646673,0.2047829581993569
AI Chip,2022Q1,725.3430000000001,4,4,15453.641,4,3917.902,3,3300.739,3,4068.004,4,3813.967,4,7277.228,4,2022-Q1,1.0,0.054138762509107055,0.31136613422183607,0.30803374638224956,-0.6128302725366052,0.08258251841193175,0.45624900030616056
AI Chip,2022Q2,0.0,0,4,16378.297,4,4464.255999999999,3,3979.041,3,3496.733,4,2980.967,4,7277.228,4,2022-Q2,,0.5809698651819539,0.8167667803996903,0.7567253013980002,0.6548206568817236,0.6353532259833806,0.450752401876099
AI Chip,2022Q3,0.0,0,4,17849.143,4,5427.0599999999995,3,4362.0830000000005,3,4531.610000000001,4,4172.967000000001,4,7277.228,4,2022-Q3,,0.5995325938057642,0.8437459692724975,0.7514948706844873,0.743137648650259,0.8502264695599079,0.450752401876099
AI Chip,2023Q1,675.4,3,4,23085.3,4,6865.2,3,5515.1,3,6688.7,4,6008.8,4,13437.3,4,2023-Q1,1.0,0.5361550423862804,0.541746780865816,0.5160559192036409,0.6773663043640767,0.6448542138197311,0.62968751162808
AI Chip,2023Q2,0.0,0,4,25296.9,4,7614.8,3,6518.1,3,6561.3,4,5666.8,4,13437.3,4,2023-Q2,,0.38910929797722255,0.4854885223512108,0.49360411776437924,0.38000030481764285,0.32696283616856076,0.4584307859465815
AI Chip,2023Q3,0.0,0,4,24815.2,4,7572.8,3,6306.4,3,7045.6,4,6171.8,4,13437.3,4,2023-Q3,,0.33998932106128504,0.41048806253961556,0.36904715844221736,0.5036997558760077,0.5170020091383389,0.4584307859465815
AI Chip,2024Q1,592.9,3,4,24550.9,4,8540.9,3,6547.0,3,4257.8,4,3548.3,4,17000.3,4,2024-Q1,1.0,0.2729739846604402,0.36457984521537545,0.3337279670077897,-0.06430785851848382,-0.17604683933151097,0.571935318788492
AI Chip,2024Q2,0.0,0,4,22854.9,4,6144.0,3,7435.9,3,2608.1,4,2221.3,4,17000.3,4,2024-Q2,,-0.010080989197064866,-0.11738281249999998,0.2583143936846917,-1.5645872474214946,-1.7050826092828522,0.20958453674346925
