model,main_framework,main_precision,distinct_gpu_count,row_count,date_min,date_max,selection_rule
dsr1,sglang,fp8,6,5855,2025-09-29,2026-07-25,"max distinct GPUs, then max row count, then latest benchmark date"
dsv4,vllm,fp8,4,294,2026-04-24,2026-07-16,"max distinct GPUs, then max row count, then latest benchmark date"
glm5,sglang,fp8,5,344,2026-03-07,2026-06-12,"max distinct GPUs, then max row count, then latest benchmark date"
glm5.1,dynamo-sglang,fp4,2,50,2026-07-08,2026-07-08,"max distinct GPUs, then max row count, then latest benchmark date"
glm5.2,sglang,fp4,3,20,2026-08-07,2026-08-11,"max distinct GPUs, then max row count, then latest benchmark date"
gptoss120b,vllm,fp4,6,21691,2025-09-29,2026-06-05,"max distinct GPUs, then max row count, then latest benchmark date"
kimik2.5,vllm,int4,6,410,2026-02-18,2026-07-18,"max distinct GPUs, then max row count, then latest benchmark date"
kimik2.6,dynamo-vllm,fp4,1,13,2026-07-30,2026-07-31,"max distinct GPUs, then max row count, then latest benchmark date"
kimik3,vllm,fp4,3,48,2026-08-07,2026-08-12,"max distinct GPUs, then max row count, then latest benchmark date"
llama70b,vllm,fp8,6,9209,2025-09-29,2025-10-29,"max distinct GPUs, then max row count, then latest benchmark date"
minimaxm2.5,vllm,fp8,7,1038,2026-02-19,2026-06-05,"max distinct GPUs, then max row count, then latest benchmark date"
minimaxm3,vllm,fp8,7,2080,2026-06-12,2026-08-12,"max distinct GPUs, then max row count, then latest benchmark date"
qwen3.5,sglang,fp8,7,769,2026-02-20,2026-08-12,"max distinct GPUs, then max row count, then latest benchmark date"
