repo,tag_name,name,published_at,asset_name,asset_size_bytes,asset_digest,download_count,browser_download_url,html_url,body
SemiAnalysisAI/InferenceX-app,db-dump/2026-06-08,DB Dump 2026-06-08,2026-06-08T01:53:20Z,inferencex-dump-2026-06-08.tar.xz.part00,630680472,sha256:3e4fd9329143c531728f68c6e7469813a79bc5f212f483f26e4f51f0b2057e49,2,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-06-08/inferencex-dump-2026-06-08.tar.xz.part00,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-06-08,"Weekly full database dump (xz-compressed, split into parts under 2 GiB). Reassemble: `cat *.tar.xz.part* | xz -d | tar -x`"
SemiAnalysisAI/InferenceX-app,db-dump/2026-06-06,DB Dump 2026-06-06,2026-06-06T00:52:03Z,inferencex-dump-2026-06-06.tar.xz.part00,629420056,sha256:9eeffc038265cce166f40d55d9266a934116a86f820ace3439a6bc6da3a5bae9,5,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-06-06/inferencex-dump-2026-06-06.tar.xz.part00,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-06-06,"Weekly full database dump (xz-compressed, split into parts under 2 GiB). Reassemble: `cat *.tar.xz.part* | xz -d | tar -x`"
SemiAnalysisAI/InferenceX-app,db-dump/2026-05-11,DB Dump 2026-05-11,2026-05-11T01:11:04Z,inferencex-dump-2026-05-11.zip,2072340792,sha256:3f59aa2b4db7a0449a7bb030d70cdc3780fc59cafddf6ff071beb36365b44e2d,166,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-05-11/inferencex-dump-2026-05-11.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-05-11,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-05-04,DB Dump 2026-05-04,2026-05-04T01:02:14Z,inferencex-dump-2026-05-04.zip,1696315703,sha256:855534ca7b6b4ef4281b60641f9f7089f8369b14c93024d3b7f1f73cb2050c94,64,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-05-04/inferencex-dump-2026-05-04.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-05-04,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-04-27,DB Dump 2026-04-27,2026-04-27T00:47:55Z,inferencex-dump-2026-04-27.zip,258632807,sha256:3f31c5c30e19e8e317329dea81e974b0dae563f25bc4be7f92dea11defa9100c,84,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-04-27/inferencex-dump-2026-04-27.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-04-27,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-04-20,DB Dump 2026-04-20,2026-04-20T00:45:46Z,inferencex-dump-2026-04-20.zip,241981257,sha256:4d0dced5e75861d8fb4e66ac8c023270fb8f0eb2c321704f0aeff47de5d4499d,44,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-04-20/inferencex-dump-2026-04-20.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-04-20,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-04-13,DB Dump 2026-04-13,2026-04-13T00:46:55Z,inferencex-dump-2026-04-13.zip,209158762,sha256:bd64a9b291a65078556572907afe290e8cab150b69bd90e3e83d6c84bb07e472,34,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-04-13/inferencex-dump-2026-04-13.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-04-13,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-04-06,DB Dump 2026-04-06,2026-04-06T00:42:05Z,inferencex-dump-2026-04-06.zip,199263597,sha256:f95a724b6eeba403456fb8b87a2283e86e41a7f055f4e2dedbd81a3c8462c37c,32,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-04-06/inferencex-dump-2026-04-06.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-04-06,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-03-30,DB Dump 2026-03-30,2026-03-30T00:42:36Z,inferencex-dump-2026-03-30.zip,177537481,sha256:20a5d7ad79659afbe12af37074067cf8655f52bec68e034675612b5845033587,127,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-03-30/inferencex-dump-2026-03-30.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-03-30,Weekly database dump.
SemiAnalysisAI/InferenceX-app,db-dump/2026-03-28,DB Dump 2026-03-28,2026-03-28T06:04:13Z,inferencex-dump-2026-03-28.zip,187401353,sha256:d5697c68864346875548d7891ee77addf7559aba111d6710c28325352409e6f7,8,https://github.com/SemiAnalysisAI/InferenceX-app/releases/download/db-dump/2026-03-28/inferencex-dump-2026-03-28.zip,https://github.com/SemiAnalysisAI/InferenceX-app/releases/tag/db-dump/2026-03-28,Weekly database dump.
