selected_benchmark_id,model,gpu,main_framework,main_precision,isl,osl,workload_type,target_tok_s_user,realized_tok_s_user,target_tok_s_user_distance_pct,source_row_count,benchmark_date,gpu_count,concurrency,effective_call_multiplier,base_total_tok_s_gpu,base_output_tok_s_gpu,scenario_total_tok_s_gpu,scenario_output_tok_s_gpu,users_per_gpu,requests_s_gpu_by_osl,capacity_vs_cot_single_call
415291,dsr1,B200,sglang,fp8,1024,1024,agentic,30,28.84453594999078,0.03851546833364061,358,2026-05-22T00:00:00.000Z,8,256,9.2,1707.2777666799777,854.0516023917661,185.57367029130194,92.83169591214849,6.1857890097100645,0.09065595303920751,0.10869565217391305
415318,dsr1,B200,sglang,fp8,1024,1024,agentic,50,45.86355639922039,0.08272887201559215,358,2026-05-22T00:00:00.000Z,8,64,9.2,678.0905888623533,338.96887775153016,73.70549878938624,36.84444323386197,1.4741099757877247,0.03598090159556833,0.10869565217391305
415279,dsr1,B200,sglang,fp8,1024,1024,agentic,70,76.21517050874475,0.08878815012492497,358,2026-05-22T00:00:00.000Z,8,16,9.2,292.0529219836881,145.25332550333488,31.74488282431393,15.788404946014662,0.45349832606162754,0.015418364205092443,0.10869565217391305
415291,dsr1,B200,sglang,fp8,1024,1024,cot,30,28.84453594999078,0.03851546833364061,358,2026-05-22T00:00:00.000Z,8,256,1.0,1707.2777666799777,854.0516023917661,1707.2777666799777,854.0516023917661,56.90925888933259,0.8340347679607091,1.0
415318,dsr1,B200,sglang,fp8,1024,1024,cot,50,45.86355639922039,0.08272887201559215,358,2026-05-22T00:00:00.000Z,8,64,1.0,678.0905888623533,338.96887775153016,678.0905888623533,338.96887775153016,13.561811777247067,0.33102429467922867,1.0
415279,dsr1,B200,sglang,fp8,1024,1024,cot,70,76.21517050874475,0.08878815012492497,358,2026-05-22T00:00:00.000Z,8,16,1.0,292.0529219836881,145.25332550333488,292.0529219836881,145.25332550333488,4.1721845997669735,0.14184895068685047,1.0
97002,dsr1,B200,sglang,fp8,1024,8192,agentic,30,29.01864742485789,0.032711752504737034,292,2026-03-25T00:00:00.000Z,8,256,9.2,987.2308147368974,877.6524791785965,107.30769725401059,95.3970086063692,3.576923241800353,0.011645142652144677,0.10869565217391305
96759,dsr1,B200,sglang,fp8,1024,8192,agentic,50,45.37592652816857,0.0924814694366286,292,2026-03-25T00:00:00.000Z,8,64,9.2,398.2256116964493,354.0226738708049,43.28539257570101,38.48072542073967,0.8657078515140202,0.004697354177336385,0.10869565217391305
96766,dsr1,B200,sglang,fp8,1024,8192,agentic,70,73.86789672289538,0.05525566746993401,292,2026-03-25T00:00:00.000Z,8,32,9.2,315.40098850507195,280.5658668432919,34.28271614185565,30.496289874270857,0.489753087740795,0.0037226916350428293,0.10869565217391305
97002,dsr1,B200,sglang,fp8,1024,8192,cot,30,29.01864742485789,0.032711752504737034,292,2026-03-25T00:00:00.000Z,8,256,1.0,987.2308147368974,877.6524791785965,987.2308147368974,877.6524791785965,32.907693824563246,0.10713531239973102,1.0
96759,dsr1,B200,sglang,fp8,1024,8192,cot,50,45.37592652816857,0.0924814694366286,292,2026-03-25T00:00:00.000Z,8,64,1.0,398.2256116964493,354.0226738708049,398.2256116964493,354.0226738708049,7.9645122339289856,0.04321565843149474,1.0
96766,dsr1,B200,sglang,fp8,1024,8192,cot,70,73.86789672289538,0.05525566746993401,292,2026-03-25T00:00:00.000Z,8,32,1.0,315.40098850507195,280.5658668432919,315.40098850507195,280.5658668432919,4.505728407215313,0.03424876304239403,1.0
415278,dsr1,B200,sglang,fp8,8192,1024,agentic,30,29.70535163155301,0.009821612281566298,343,2026-05-22T00:00:00.000Z,4,32,9.2,2013.983103380633,225.21934600397282,218.91120688919926,24.480363696084005,7.2970402296399755,0.023906605171957036,0.10869565217391305
415309,dsr1,B200,sglang,fp8,8192,1024,agentic,50,45.67172184141995,0.08656556317160095,343,2026-05-22T00:00:00.000Z,4,16,9.2,1552.2660367241326,172.00100698877137,168.72456920914487,18.69576162921428,3.3744913841828974,0.018257579716029572,0.10869565217391305
415345,dsr1,B200,sglang,fp8,8192,1024,agentic,70,65.79340789332177,0.060094172952546134,343,2026-05-22T00:00:00.000Z,4,8,9.2,1106.6146726292427,124.4021536414562,120.28420354665683,13.521973221897413,1.7183457649522405,0.013205051974509193,0.10869565217391305
415278,dsr1,B200,sglang,fp8,8192,1024,cot,30,29.70535163155301,0.009821612281566298,343,2026-05-22T00:00:00.000Z,4,32,1.0,2013.983103380633,225.21934600397282,2013.983103380633,225.21934600397282,67.13277011268777,0.2199407675820047,1.0
415309,dsr1,B200,sglang,fp8,8192,1024,cot,50,45.67172184141995,0.08656556317160095,343,2026-05-22T00:00:00.000Z,4,16,1.0,1552.2660367241326,172.00100698877137,1552.2660367241326,172.00100698877137,31.04532073448265,0.16796973338747204,1.0
415345,dsr1,B200,sglang,fp8,8192,1024,cot,70,65.79340789332177,0.060094172952546134,343,2026-05-22T00:00:00.000Z,4,8,1.0,1106.6146726292427,124.4021536414562,1106.6146726292427,124.4021536414562,15.80878103756061,0.12148647816548457,1.0
415284,dsr1,B300,sglang,fp8,1024,1024,agentic,30,30.3592116757826,0.011973722526086661,69,2026-05-22T00:00:00.000Z,8,256,9.2,1808.0348290857903,904.4544907087095,196.5255249006294,98.31027072920756,6.55085083002098,0.09600612375899176,0.10869565217391305
415343,dsr1,B300,sglang,fp8,1024,1024,agentic,50,47.1965945818785,0.056068108362429994,69,2026-05-22T00:00:00.000Z,8,64,9.2,713.9298255003205,356.8844572068133,77.60106798916527,38.791788826827535,1.5520213597833055,0.037882606276198764,0.10869565217391305
415315,dsr1,B300,sglang,fp8,1024,1024,agentic,70,63.95238849783859,0.08639445003087727,69,2026-05-22T00:00:00.000Z,8,32,9.2,490.84064471219097,245.8091015908695,53.35224399045554,26.718380607703207,0.7621749141493649,0.026092168562210163,0.10869565217391305
415284,dsr1,B300,sglang,fp8,1024,1024,cot,30,30.3592116757826,0.011973722526086661,69,2026-05-22T00:00:00.000Z,8,256,1.0,1808.0348290857903,904.4544907087095,1808.0348290857903,904.4544907087095,60.26782763619301,0.8832563385827241,1.0
415343,dsr1,B300,sglang,fp8,1024,1024,cot,50,47.1965945818785,0.056068108362429994,69,2026-05-22T00:00:00.000Z,8,64,1.0,713.9298255003205,356.8844572068133,713.9298255003205,356.8844572068133,14.278596510006409,0.3485199777410286,1.0
415315,dsr1,B300,sglang,fp8,1024,1024,cot,70,63.95238849783859,0.08639445003087727,69,2026-05-22T00:00:00.000Z,8,32,1.0,490.84064471219097,245.8091015908695,490.84064471219097,245.8091015908695,7.012009210174156,0.24004795077233348,1.0
415357,dsr1,B300,sglang,fp8,8192,1024,agentic,30,30.506690883164037,0.016889696105467897,69,2026-05-22T00:00:00.000Z,4,32,9.2,2070.425981398005,231.53123017634564,225.04630232587016,25.166438062646268,7.501543410862339,0.024576599670552996,0.10869565217391305
415286,dsr1,B300,sglang,fp8,8192,1024,agentic,50,48.59297751964817,0.028140449607036544,69,2026-05-22T00:00:00.000Z,8,32,9.2,1645.5857726422082,184.0000405763893,178.86801876545744,20.0000044104771,3.5773603753091487,0.019531254307106543,0.10869565217391305
415281,dsr1,B300,sglang,fp8,8192,1024,agentic,70,67.37575061831575,0.03748927688120359,69,2026-05-22T00:00:00.000Z,4,8,9.2,1131.2990429312872,127.17709319612662,122.96728727513992,13.823597086535504,1.756675532501999,0.013499606529819828,0.10869565217391305
415357,dsr1,B300,sglang,fp8,8192,1024,cot,30,30.506690883164037,0.016889696105467897,69,2026-05-22T00:00:00.000Z,4,32,1.0,2070.425981398005,231.53123017634564,2070.425981398005,231.53123017634564,69.0141993799335,0.22610471696908754,1.0
415286,dsr1,B300,sglang,fp8,8192,1024,cot,50,48.59297751964817,0.028140449607036544,69,2026-05-22T00:00:00.000Z,8,32,1.0,1645.5857726422082,184.0000405763893,1645.5857726422082,184.0000405763893,32.91171545284416,0.17968753962538017,1.0
415281,dsr1,B300,sglang,fp8,8192,1024,cot,70,67.37575061831575,0.03748927688120359,69,2026-05-22T00:00:00.000Z,4,8,1.0,1131.2990429312872,127.17709319612662,1131.2990429312872,127.17709319612662,16.16141489901839,0.1241963800743424,1.0
413853,dsr1,H200,sglang,fp8,1024,1024,agentic,30,31.766891788813737,0.058896392960457906,313,2026-05-20T00:00:00.000Z,8,64,9.2,505.58563559095865,252.73584137347402,54.954960390321595,27.471287105812394,1.8318320130107197,0.026827428814269916,0.10869565217391305
413846,dsr1,H200,sglang,fp8,1024,1024,agentic,50,44.72670040938397,0.10546599181232054,313,2026-05-20T00:00:00.000Z,8,32,9.2,353.97842555037573,177.26958780707358,38.47591582069302,19.26843345729061,0.7695183164138604,0.01881682954813536,0.10869565217391305
413848,dsr1,H200,sglang,fp8,1024,1024,agentic,70,60.84124965226817,0.13083929068188332,313,2026-05-20T00:00:00.000Z,8,16,9.2,240.79490581045062,119.76000991759896,26.173359327222894,13.017392382347715,0.37390513324604135,0.01271229724838644,0.10869565217391305
413853,dsr1,H200,sglang,fp8,1024,1024,cot,30,31.766891788813737,0.058896392960457906,313,2026-05-20T00:00:00.000Z,8,64,1.0,505.58563559095865,252.73584137347402,505.58563559095865,252.73584137347402,16.85285451969862,0.24681234509128322,1.0
413846,dsr1,H200,sglang,fp8,1024,1024,cot,50,44.72670040938397,0.10546599181232054,313,2026-05-20T00:00:00.000Z,8,32,1.0,353.97842555037573,177.26958780707358,353.97842555037573,177.26958780707358,7.079568511007515,0.1731148318428453,1.0
413848,dsr1,H200,sglang,fp8,1024,1024,cot,70,60.84124965226817,0.13083929068188332,313,2026-05-20T00:00:00.000Z,8,16,1.0,240.79490581045062,119.76000991759896,240.79490581045062,119.76000991759896,3.4399272258635802,0.11695313468515524,1.0
96781,dsr1,H200,sglang,fp8,1024,8192,agentic,30,32.16736314083178,0.07224543802772605,284,2026-03-25T00:00:00.000Z,8,64,9.2,286.8620817393003,255.02046635539892,31.180661058619602,27.719615908195536,1.0393553686206534,0.0033837421762934004,0.10869565217391305
96713,dsr1,H200,sglang,fp8,1024,8192,agentic,50,45.22599543197657,0.09548009136046857,284,2026-03-25T00:00:00.000Z,8,32,9.2,198.8938189905685,176.92657527598166,21.618893368540054,19.231149486519747,0.4323778673708011,0.00234755242755368,0.10869565217391305
96618,dsr1,H200,sglang,fp8,1024,8192,agentic,70,63.032393012710365,0.09953724267556621,284,2026-03-25T00:00:00.000Z,8,16,9.2,138.46409407928948,123.02884504598019,15.050445008618423,13.372700548476109,0.21500635726597747,0.0016324097349214,0.10869565217391305
96781,dsr1,H200,sglang,fp8,1024,8192,cot,30,32.16736314083178,0.07224543802772605,284,2026-03-25T00:00:00.000Z,8,64,1.0,286.8620817393003,255.02046635539892,286.8620817393003,255.02046635539892,9.562069391310011,0.031130428021899283,1.0
96713,dsr1,H200,sglang,fp8,1024,8192,cot,50,45.22599543197657,0.09548009136046857,284,2026-03-25T00:00:00.000Z,8,32,1.0,198.8938189905685,176.92657527598166,198.8938189905685,176.92657527598166,3.9778763798113697,0.021597482333493855,1.0
96618,dsr1,H200,sglang,fp8,1024,8192,cot,70,63.032393012710365,0.09953724267556621,284,2026-03-25T00:00:00.000Z,8,16,1.0,138.46409407928948,123.02884504598019,138.46409407928948,123.02884504598019,1.9780584868469926,0.015018169561276879,1.0
413847,dsr1,H200,sglang,fp8,8192,1024,agentic,30,35.450942795574335,0.18169809318581115,305,2026-05-20T00:00:00.000Z,8,32,9.2,1237.8317320440178,138.40730316788083,134.5469273960889,15.044272083465309,4.48489757986963,0.01469167195650909,0.10869565217391305
413845,dsr1,H200,sglang,fp8,8192,1024,agentic,50,53.36163818548012,0.06723276370960235,305,2026-05-20T00:00:00.000Z,8,16,9.2,932.9161973571142,103.3605679660937,101.40393449533852,11.23484434414062,2.02807868990677,0.010971527679824825,0.10869565217391305
413854,dsr1,H200,sglang,fp8,8192,1024,agentic,70,74.70654248662275,0.06723632123746788,305,2026-05-20T00:00:00.000Z,8,8,9.2,650.4291630280342,73.11033127501823,70.69882206826459,7.946775138588938,1.0099831724037798,0.00776052259627826,0.10869565217391305
413847,dsr1,H200,sglang,fp8,8192,1024,cot,30,35.450942795574335,0.18169809318581115,305,2026-05-20T00:00:00.000Z,8,32,1.0,1237.8317320440178,138.40730316788083,1237.8317320440178,138.40730316788083,41.261057734800595,0.13516338199988362,1.0
413845,dsr1,H200,sglang,fp8,8192,1024,cot,50,53.36163818548012,0.06723276370960235,305,2026-05-20T00:00:00.000Z,8,16,1.0,932.9161973571142,103.3605679660937,932.9161973571142,103.3605679660937,18.658323947142286,0.10093805465438838,1.0
413854,dsr1,H200,sglang,fp8,8192,1024,cot,70,74.70654248662275,0.06723632123746788,305,2026-05-20T00:00:00.000Z,8,8,1.0,650.4291630280342,73.11033127501823,650.4291630280342,73.11033127501823,9.291845186114774,0.07139680788575999,1.0
