reference_key,proxy_model,source_model,gpu,workload,target_tok_s_user,target_met,effective_output_tps_per_mw,selected_tok_s_user,observed_tok_s_user,performance_multiplier_vs_source,source_gpu,benchmark_id,framework,precision,spec_method,concurrency,benchmark_type,selected_isl,selected_osl,candidate_rows,eligible_rows,selection_status,source_type,benchmark_date,run_url,method_note
DeepSeek V4 Pro|H200|short|30,DeepSeek V4 Pro,dsv4,H200,short,30,True,95793.950843,33.98895,33.98895,1.0,H200,435216,vllm,fp8,mtp,32,single_turn,1024,1024,48,31,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|H200|long|30,DeepSeek V4 Pro,dsv4,H200,long,30,True,26985.672563,43.428087,43.428087,1.0,H200,435196,sglang,fp8,mtp,8,single_turn,8192,1024,47,21,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|H200|agentic|30,DeepSeek V4 Pro,dsv4,H200,agentic,30,True,25811.934307,95.69378,95.69378,1.0,H200,439550,dynamo-sglang,fp8,mtp,8,agentic_traces,,,5,5,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31435999410/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 30.
DeepSeek V4 Pro|H200|short|50,DeepSeek V4 Pro,dsv4,H200,short,50,True,71446.97451,54.846976,54.846976,1.0,H200,435256,sglang,fp8,mtp,16,single_turn,1024,1024,48,19,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|H200|long|50,DeepSeek V4 Pro,dsv4,H200,long,50,True,20410.369987,66.349007,66.349007,1.0,H200,435205,sglang,fp8,mtp,4,single_turn,8192,1024,47,12,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|H200|agentic|50,DeepSeek V4 Pro,dsv4,H200,agentic,50,True,25811.934307,95.69378,95.69378,1.0,H200,439550,dynamo-sglang,fp8,mtp,8,agentic_traces,,,5,5,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31435999410/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 50.
DeepSeek V4 Pro|H200|short|70,DeepSeek V4 Pro,dsv4,H200,short,70,True,48586.916765,70.597659,70.597659,1.0,H200,435199,vllm,fp8,mtp,8,single_turn,1024,1024,48,11,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|H200|long|70,DeepSeek V4 Pro,dsv4,H200,long,70,True,13217.209329,100.706934,100.706934,1.0,H200,435236,vllm,fp8,mtp,2,single_turn,8192,1024,47,7,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|H200|agentic|70,DeepSeek V4 Pro,dsv4,H200,agentic,70,True,25811.934307,95.69378,95.69378,1.0,H200,439550,dynamo-sglang,fp8,mtp,8,agentic_traces,,,5,4,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-08-11,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31435999410/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 70.
DeepSeek V4 Pro|H200|short|100,DeepSeek V4 Pro,dsv4,H200,short,100,True,24061.236782,146.494048,146.494048,1.0,H200,435172,vllm,fp8,mtp,2,single_turn,1024,1024,48,3,InferenceX_direct_exact_model_target_met,InferenceX_direct_exact_model,2026-07-14,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/29316772188/attempts/1,Selected highest output TPS/MW measured row meeting median interactivity >= 100.
