proxy_model,gpu,interactivity_tok_s_user,general_chat_tps_per_mw,agentic_tps_per_mw,general_chat_concurrency,agentic_concurrency,general_chat_precision,agentic_precision,general_chat_framework,agentic_framework,general_chat_source_type,agentic_source_type
DeepSeek V4 Pro,H200,30,26985.672563,25811.934307,8,8,fp8,fp8,sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,H200,50,20410.369987,25811.934307,4,8,fp8,fp8,sglang,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,H200,70,13217.209329,25811.934307,2,8,fp8,fp8,vllm,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,H200,100,13217.209329,14938.773723,2,4,fp8,fp8,vllm,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B200,30,2666084.383025,119077.040936,4096,72,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B200,50,1766862.520101,81649.391813,1024,40,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B200,70,426771.870546,39404.520468,256,16,fp4,fp4,dynamo-vllm,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B200,100,110825.248109,31261.426901,128,12,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B300,30,2837835.016764,212034.078947,3072,128,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B300,50,1400983.543572,71586.210526,1024,16,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B300,70,444662.903186,71586.210526,256,16,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,B300,100,108903.627904,44693.952632,64,8,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,GB200,30,2252081.955332,108888.631016,16384,72,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
DeepSeek V4 Pro,GB200,50,2252081.955332,74663.347594,16384,40,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
DeepSeek V4 Pro,GB200,70,1527370.082392,36033.010695,6144,16,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
DeepSeek V4 Pro,GB200,100,769357.42216,28586.652406,2048,12,fp4,fp4,dynamo-sglang,vllm,InferenceX_direct_exact_model,InferenceX_scaled_exact_model
DeepSeek V4 Pro,GB300,30,3351414.681049,259761.235849,2253,1536,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,GB300,50,1669415.886722,235161.108491,1229,768,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,GB300,70,1669415.886722,140344.306604,1229,256,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,GB300,100,628688.538904,38554.872642,615,8,fp4,fp4,dynamo-trt,dynamo-sglang,InferenceX_direct_exact_model,InferenceX_direct_exact_model
DeepSeek V4 Pro,R200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R200,50,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R200,70,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,R200,100,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
DeepSeek V4 Pro,VR200,30,,,,,,,,,InferenceX_exact_model_unavailable,InferenceX_exact_model_unavailable
