normalized_key,scenario,company,year,csp,company_inference_power_mw,csp_total_power_mw,ai_contract_share_of_csp,ai_contract_power_mw,inference_share,contract_inference_weight_mw,company_contract_inference_weight_mw,normalized_csp_share,normalized_csp_inference_power_mw,source_type,note
Base|Google|2030|Google,Base,Google,2030,Google,3651.0,5790.0,0.79343696,4594.0,0.72,3307.68,3307.68,1.0,3651.0,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Meta|2030|Meta,Base,Meta,2030,Meta,3280.0,4323.0,1.0,4323.0,0.78,3371.94,3371.94,1.0,3280.0,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Microsoft|2030|Microsoft,Base,Microsoft,2030,Microsoft,3333.0,4085.0,0.54406365,2222.5,0.75,1666.875,1841.625,0.90511098,3016.735,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|OpenAI|2030|Oracle,Base,OpenAI,2030,Oracle,4862.0,5783.0,0.98754971,5711.0,0.78,4454.58,8468.85,0.52599586,2557.392,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Anthropic|2030|Amazon,Base,Anthropic,2030,Amazon,2966.0,3448.0,1.0,3448.0,0.74,2551.52,3197.786,0.79790205,2366.577,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Alibaba|2030|Alibaba,Base,Alibaba,2030,Alibaba,1748.0,169.0,1.0,169.0,0.8,135.2,135.2,1.0,1748.0,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Tencent|2030|Legacy company envelope - Tencent,Base,Tencent,2030,Legacy company envelope - Tencent,1311.0,1639.0,1.0,1639.0,0.8,1311.2,1311.2,1.0,1311.0,legacy_company_envelope_fallback,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|xAI|2030|SpaceXAI,Base,xAI,2030,SpaceXAI,1219.0,1286.0,0.24520451,315.333,0.7,220.733,220.733,1.0,1219.0,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|OpenAI|2030|Microsoft,Base,OpenAI,2030,Microsoft,4862.0,4085.0,0.42607099,1740.5,0.78,1357.59,8468.85,0.16030394,779.398,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|OpenAI|2030|CoreWeave,Base,OpenAI,2030,CoreWeave,4862.0,1549.0,1.0,1549.0,0.78,1208.22,8468.85,0.14266636,693.644,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|DeepSeek|2030|Legacy company envelope - DeepSeek,Base,DeepSeek,2030,Legacy company envelope - DeepSeek,651.0,794.0,1.0,794.0,0.82,651.08,651.08,1.0,651.0,legacy_company_envelope_fallback,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Anthropic|2030|SpaceXAI,Base,Anthropic,2030,SpaceXAI,2966.0,1286.0,0.5095902,655.333,0.74,484.946,3197.786,0.15165055,449.796,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|OpenAI|2030|G42,Base,OpenAI,2030,G42,4862.0,1000.0,1.0,1000.0,0.78,780.0,8468.85,0.09210223,447.801,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|OpenAI|2030|Softbank,Base,OpenAI,2030,Softbank,4862.0,857.0,1.0,857.0,0.78,668.46,8468.85,0.07893161,383.766,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Microsoft|2030|Nscale,Base,Microsoft,2030,Nscale,3333.0,233.0,1.0,233.0,0.75,174.75,1841.625,0.09488902,316.265,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
Base|Anthropic|2030|Fluidstack,Base,Anthropic,2030,Fluidstack,2966.0,436.0,0.5,218.0,0.74,161.32,3197.786,0.0504474,149.627,epoch_csp_total_power_x_user_contract_share_seed,Company inference power is redistributed across CSPs by normalized contract inference weight.
