company,year,contracted_power_gw,active_power_gw,inference_gw,training_gw,inference_power_share,reference_serving_tps_per_mw,inference_tokens_per_day_q,hbm_pb
OpenAI,2026,5.0,1.4,0.595,0.431,0.58,111370,0.00572530896,49.27552434671426
OpenAI,2027,6.75,3.175,1.467,0.861,0.63,101010,0.012802896288,123.1397028741909
OpenAI,2028,8.5,4.95,2.468,1.162,0.68,94798,0.0202142704896,221.52204988093018
OpenAI,2029,10.25,6.725,3.6,1.332,0.73,90248,0.02807073792,322.47538380970144
OpenAI,2030,12.0,8.5,4.862,1.371,0.78,86248,0.0362307838464,435.8534242683999
Anthropic,2026,3.5,1.0,0.379,0.35,0.52,112752,0.0036921318912,32.75364157587705
Anthropic,2027,4.375,2.125,0.891,0.658,0.575,114968,0.0088505125632,77.02181324418635
Anthropic,2028,5.25,3.25,1.492,0.876,0.63,98236,0.0126634848768,130.19548398550918
Anthropic,2029,6.125,4.375,2.184,1.004,0.685,98236,0.0185368974336,190.58092604086198
Anthropic,2030,7.0,5.5,2.966,1.042,0.74,98236,0.0251741931264,258.820069286913
Google,2026,4.5,2.2,0.902,0.738,0.55,100661,0.0078447935808,79.52286635944701
Google,2027,5.375,3.35,1.48,1.018,0.593,100661,0.012871723392,141.9812129032258
Google,2028,6.25,4.5,2.131,1.225,0.635,100661,0.0185335422624,204.4335926267281
Google,2029,7.125,5.65,2.855,1.359,0.677,100661,0.024830250192,273.88913917050695
Google,2030,8.0,6.8,3.651,1.42,0.72,100661,0.0317531500704,350.25215115207374
Microsoft,2026,4.0,1.8,0.71,0.58,0.55,1552715,0.09524974896,58.716059231240514
Microsoft,2027,5.25,2.9,1.247,0.831,0.6,1603762,0.1727906008896,103.2123665752111
Microsoft,2028,6.5,4.0,1.863,1.003,0.65,1680620,0.270517973184,154.39374323805976
Microsoft,2029,7.75,5.1,2.559,1.097,0.7,1680620,0.371581048512,212.07385299539175
Microsoft,2030,9.0,6.2,3.333,1.111,0.75,1680620,0.483970158144,276.21811323353137
xAI,2026,1.0,0.35,0.11,0.134,0.45,1362216,0.012946500864,9.077627982738873
xAI,2027,1.5,0.887,0.317,0.301,0.512,1362216,0.0373094615808,26.160074039050635
xAI,2028,2.0,1.425,0.571,0.422,0.575,1362216,0.0672041090304,47.121142316400736
xAI,2029,2.5,1.962,0.872,0.496,0.637,1362216,0.1026304432128,71.96083281478917
xAI,2030,3.0,2.5,1.219,0.523,0.7,1362216,0.1434707686656,100.59662436536054
