year,csp,contract_share,normalized_csp_share,normalized_csp_inference_power_mw
2026,Oracle,0.92131148,0.37079393,220.622
2026,Microsoft,0.52238315,0.34902133,207.668
2026,CoreWeave,1.0,0.28018474,166.71
2027,CoreWeave,1.0,0.41333572,606.364
2027,Oracle,0.92131148,0.3022047,443.334
2027,Microsoft,0.3621634,0.28445958,417.302
2028,Oracle,0.98754971,0.54590642,1347.297
2028,Microsoft,0.42607099,0.16637194,410.606
2028,CoreWeave,1.0,0.11021364,272.007
2028,G42,1.0,0.09558859,235.913
2028,Softbank,1.0,0.08191942,202.177
2029,Oracle,0.98754971,0.52599586,1893.585
2029,Microsoft,0.42607099,0.16030394,577.094
2029,CoreWeave,1.0,0.14266636,513.599
2029,G42,1.0,0.09210223,331.568
2029,Softbank,1.0,0.07893161,284.154
2030,Oracle,0.98754971,0.52599586,2557.392
2030,Microsoft,0.42607099,0.16030394,779.398
2030,CoreWeave,1.0,0.14266636,693.644
2030,G42,1.0,0.09210223,447.801
2030,Softbank,1.0,0.07893161,383.766
2026,Amazon,1.0,0.6684427,253.34
2026,SpaceXAI,0.5095902,0.30805369,116.752
2026,Fluidstack,0.5,0.02350361,8.908
2027,Amazon,1.0,0.61951818,551.991
2027,SpaceXAI,0.5095902,0.28550646,254.386
2027,Fluidstack,0.5,0.09497536,84.623
2028,Amazon,1.0,0.79790188,1190.47
2028,SpaceXAI,0.5095902,0.15165073,226.263
2028,Fluidstack,0.5,0.05044739,75.268
2029,Amazon,1.0,0.79790197,1742.618
2029,SpaceXAI,0.5095902,0.15165063,331.205
2029,Fluidstack,0.5,0.0504474,110.177
2030,Amazon,1.0,0.79790205,2366.577
2030,SpaceXAI,0.5095902,0.15165055,449.796
2030,Fluidstack,0.5,0.0504474,149.627
2026,Google,0.66411727,1.0,902.0
2027,Google,0.74921367,1.0,1480.0
2028,Google,0.79343696,1.0,2131.0
2029,Google,0.79343696,1.0,2855.0
2030,Google,0.79343696,1.0,3651.0
2026,Microsoft,0.39730086,0.94815397,673.189
2026,Nscale,1.0,0.05184603,36.811
2027,Microsoft,0.58215427,0.84554193,1054.391
2027,Nscale,1.0,0.15445807,192.609
2028,Microsoft,0.54406365,0.90511098,1686.222
2028,Nscale,1.0,0.09488902,176.778
2029,Microsoft,0.54406365,0.90511098,2316.179
2029,Nscale,1.0,0.09488902,242.821
2030,Microsoft,0.54406365,0.90511098,3016.735
2030,Nscale,1.0,0.09488902,316.265
2026,SpaceXAI,0.24520451,1.0,110.0
2027,SpaceXAI,0.24520451,1.0,317.0
2028,SpaceXAI,0.24520451,1.0,571.0
2029,SpaceXAI,0.24520451,1.0,872.0
2030,SpaceXAI,0.24520451,1.0,1219.0
