company,year,accelerator_power_mw,accelerator_units_estimated,hbm_pb,hbm_24gb_stack_equiv_m
Alibaba,2026,266.0,153757.225433526,21.67976878612717,0.9033236994219654
Alibaba,2027,572.0,330635.838150289,46.619653179190756,1.942485549132948
Alibaba,2028,920.0,531791.9075144508,74.98265895953756,3.1242774566473983
Alibaba,2029,1312.0,758381.5028901735,106.93179190751445,4.455491329479769
Alibaba,2030,1748.0,1010404.6242774567,142.4670520231214,5.936127167630058
Anthropic,2026,379.0,179762.18001651528,32.75364157587705,1.3647350656615436
Anthropic,2027,891.001,423183.8603127247,77.02181324418635,3.2092422185077654
Anthropic,2028,1492.0009999999997,701345.0281026078,130.19548398550918,5.42481183272955
Anthropic,2029,2184.0,1026633.0571908047,190.58092604086198,7.940871918369249
Anthropic,2030,2966.0000000000005,1394227.8895074718,258.820069286913,10.784169553621373
DeepSeek,2026,61.0,32089.68416753239,5.02852795610133,0.20952199817088873
DeepSeek,2027,183.0,94215.38637756053,15.242806806424976,0.6351169502677073
DeepSeek,2028,321.0,161632.9612956501,27.017240630244267,1.1257183595935112
DeepSeek,2029,477.0,234837.88790921925,40.559606941743695,1.6899836225726537
DeepSeek,2030,651.0,313130.0578034682,55.91883815028902,2.3299515895953755
Google,2026,902.0,415668.20276497694,79.52286635944701,3.3134527649769585
Google,2027,1480.0010000000002,682028.1105990784,141.9812129032258,5.9158838709677415
Google,2028,2131.0,982027.6497695852,204.4335926267281,8.518066359447003
Google,2029,2854.9990000000003,1315667.741935484,273.88913917050695,11.412047465437789
Google,2030,3651.0009999999997,1682488.940092166,350.25215115207374,14.593839631336406
Meta,2026,673.0,317712.9858021896,55.731405652486615,2.3221419021869423
Meta,2027,1210.0,570673.5888761621,100.20736911909647,4.175307046629019
Meta,2028,1824.0,856569.3188780267,168.0844103673317,7.003517098638822
Meta,2029,2513.999,1180600.0133187715,231.66888713140298,9.652870297141792
Meta,2030,3280.0,1540322.0372392852,302.2570653152553,12.59404438813564
Microsoft,2026,710.0,341608.4600836419,58.716059231240514,2.446502467968355
Microsoft,2027,1247.0,592920.5721744227,103.2123665752111,4.30051527396713
Microsoft,2028,1863.0,869936.0912069471,154.39374323805976,6.4330726349191565
Microsoft,2029,2558.9999999999995,1194936.405529954,212.07385299539175,8.836410541474656
Microsoft,2030,3333.0,1556359.148664127,276.21811323353137,11.509088051397141
OpenAI,2026,595.0000000000001,280620.49492554815,49.27552434671426,2.053146847779761
OpenAI,2027,1467.0,688051.3358727791,123.1397028741909,5.130820953091288
OpenAI,2028,2467.9999999999995,1154380.6868046492,221.52204988093018,9.230085411705424
OpenAI,2029,3600.0000000000005,1680108.253642684,322.47538380970144,13.436474325404227
OpenAI,2030,4862.001,2264734.186889001,435.8534242683999,18.16055934451666
Tencent,2026,184.0,96795.11289878622,15.168018752830239,0.6320007813679266
Tencent,2027,416.0,214172.6816014491,34.65031492608082,1.4437631219200342
Tencent,2028,681.0,342903.57209450996,57.31694974827522,2.3882062395114674
Tencent,2029,980.0,482476.16383864754,83.33001006899123,3.472083752874635
Tencent,2030,1311.0,630589.102581178,112.61074779574332,4.692114491489305
xAI,2026,110.0,54483.183719133754,9.077627982738873,0.37823449928078634
xAI,2027,317.0,157010.57510455235,26.160074039050635,1.0900030849604432
xAI,2028,571.0,282817.1971977305,47.121142316400736,1.9633809298500307
xAI,2029,872.0,431903.04999866814,71.96083281478917,2.998368033949548
xAI,2030,1219.0,603772.6112783357,100.59662436536054,4.1915260152233556
