supplier,company,year,csp_total_power_mw,ai_contract_power_mw,ai_contract_share_of_csp,normalized_supplier_inference_mw,supplier_customer_inference_share
Alibaba,Alibaba,2030,169.0,169.0,1.0,1748.0,1.0
Amazon,Anthropic,2030,3448.0,3448.0,1.0,2366.577,1.0
CoreWeave,OpenAI,2030,1549.0,1549.0,1.0,693.644,1.0
Fluidstack,Anthropic,2030,436.0,218.0,0.5,149.627,1.0
G42,OpenAI,2030,1000.0,1000.0,1.0,447.801,1.0
Google,Google,2030,5790.0,4594.0,0.79343696,3651.0,1.0
Legacy company envelope - DeepSeek,DeepSeek,2030,794.0,794.0,1.0,651.0,1.0
Legacy company envelope - Tencent,Tencent,2030,1639.0,1639.0,1.0,1311.0,1.0
Meta,Meta,2030,4323.0,4323.0,1.0,3280.0,1.0
Microsoft,Microsoft,2030,4085.0,2222.5,0.54406365,3016.735,0.7946863294831872
Microsoft,OpenAI,2030,4085.0,1740.5,0.42607099,779.398,0.20531367051681276
Nscale,Microsoft,2030,233.0,233.0,1.0,316.265,1.0
Oracle,OpenAI,2030,5783.0,5711.0,0.98754971,2557.392,1.0
Softbank,OpenAI,2030,857.0,857.0,1.0,383.766,1.0
SpaceXAI,xAI,2030,1286.0,315.333,0.24520451,1219.0,0.7304667556729522
SpaceXAI,Anthropic,2030,1286.0,655.333,0.5095902,449.796,0.2695332443270477
