supplier,year,supplier_scope,csp_total_power_mw,ai_contract_power_mw,contract_power_utilization,contract_inference_weight_mw,normalized_supplier_inference_mw,accelerator_power_mw,accelerator_units_estimated,hbm_pb,hbm_24gb_stack_equiv_m,h200_share,b200_share,gb200_share,purpose_built_share
Alibaba,2026,epoch_supplier,169.0,169.0,1.0,101.4,266.0,266.0,153757.225433526,21.67976878612717,0.9033236994219654,1.0,0.0,0.0,0.0
Alibaba,2027,epoch_supplier,169.0,169.0,1.0,109.85,572.0,572.0,330635.838150289,46.619653179190756,1.942485549132948,1.0,0.0,0.0,0.0
Alibaba,2028,epoch_supplier,169.0,169.0,1.0,118.3,920.0,920.0,531791.9075144508,74.98265895953756,3.1242774566473983,1.0,0.0,0.0,0.0
Alibaba,2029,epoch_supplier,169.0,169.0,1.0,126.75,1312.0,1312.0,758381.5028901735,106.93179190751445,4.455491329479769,1.0,0.0,0.0,0.0
Alibaba,2030,epoch_supplier,169.0,169.0,1.0,135.2,1748.0,1748.0,1010404.6242774567,142.4670520231214,5.936127167630058,1.0,0.0,0.0,0.0
Amazon,2026,epoch_supplier,1422.0,1422.0,1.0,739.44,253.34,253.34,117829.63693028956,22.330639175834424,0.930443298993101,0.036476671666535086,0.014439093708060314,0.0,0.9490842346254046
Amazon,2027,epoch_supplier,1422.0,1422.0,1.0,817.65,551.991,551.992,258189.3396553102,48.541509333795055,2.0225628889081273,0.05897005753706576,0.023340917984318615,0.0,0.9176890244786158
Amazon,2028,epoch_supplier,3448.0,3448.0,1.0,2172.24,1190.47,1190.4699999999998,554590.8793052929,104.86372365946566,4.369321819144403,0.04290994313170429,0.01698404831705125,0.0,0.9401060085512445
Amazon,2029,epoch_supplier,3448.0,3448.0,1.0,2361.88,1742.618,1742.618,811813.9047974215,153.50022048427053,6.395842520177938,0.04291015013043593,0.01698421570303991,0.0,0.9401056341665242
Amazon,2030,epoch_supplier,3448.0,3448.0,1.0,2551.52,2366.577,2366.577,1102490.6662049494,208.46226642337712,8.685927767640713,0.04291007645219234,0.016984023760900236,0.0,0.9401058997869074
CoreWeave,2026,epoch_supplier,637.0,637.0,1.0,369.46,166.71,166.71,77805.89222450122,13.816372739138544,0.575682197464106,0.050206946193989556,0.9497930538060104,0.0,0.0
