model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,sglang,fp4,16,1024,1024,128,35,410986.940175,397123.723879,415313.716322,411889.812382,822876.752557,0.026968,0.645678,2170.0,131072.0,131072.0,410986.940175,1.0
dsr1,b200,sglang,fp4,16,1024,8192,128,35,478161.605639,474085.671988,480172.991446,59852.038781,538013.64442,0.029348,0.60345,2170.0,131072.0,1048576.0,410986.940175,1.163447
dsr1,b200,sglang,fp4,16,8192,1024,128,35,227575.746538,221618.511377,229469.944832,1826996.719181,2054572.465718,0.054795,1.724528,2170.0,1048576.0,131072.0,410986.940175,0.55373
dsr1,b200,sglang,fp4,16,1024,1024,16,34,135917.141019,134544.87151,136403.122506,137364.025142,273281.166162,0.012868,0.324904,2170.0,16384.0,16384.0,135917.141019,1.0
dsr1,b200,sglang,fp4,16,1024,8192,16,35,138432.686814,137966.992035,138744.205032,17367.821299,155800.508113,0.012933,0.350854,2170.0,16384.0,131072.0,135917.141019,1.018508
dsr1,b200,sglang,fp4,16,8192,1024,16,35,75985.3855,74028.639634,76579.814635,609763.699721,685749.085221,0.015617,0.563229,2170.0,131072.0,16384.0,135917.141019,0.559057
dsr1,b200,sglang,fp4,16,1024,1024,32,34,150969.661903,146905.624545,152369.326565,150492.105383,301461.767286,0.016164,0.396223,2170.0,32768.0,32768.0,150969.661903,1.0
dsr1,b200,sglang,fp4,16,1024,8192,32,35,203587.6906,202138.309408,213339.39913,25277.49384,228865.18444,0.016751,0.39898,2170.0,32768.0,262144.0,150969.661903,1.348534
dsr1,b200,sglang,fp4,16,8192,1024,32,33,119301.718246,115385.891338,120153.54372,947532.232812,1066833.951059,0.022217,0.821446,2170.0,262144.0,32768.0,150969.661903,0.790236
dsr1,b200,sglang,fp4,16,1024,1024,4,35,50811.821538,49925.926855,51000.817298,51308.741746,102120.563284,0.00862,0.157463,2170.0,4096.0,4096.0,50811.821538,1.0
dsr1,b200,sglang,fp4,16,1024,8192,4,34,52896.796087,52743.011528,53052.247509,6750.085848,59646.881935,0.008554,0.155565,2170.0,4096.0,32768.0,50811.821538,1.041033
dsr1,b200,sglang,fp4,16,8192,1024,4,34,26803.477701,25795.605289,27031.203417,214143.801599,240947.2793,0.009207,0.267107,2170.0,32768.0,4096.0,50811.821538,0.527505
