Company,Capacity_Type(GPU/MW),Contracted_Capacity,Inference_Allocation(0-1),Model_Mix_Weighted_tok_per_s_per_unit,Utilization_U(0-1),Decode_Factor_D(0-1),SLO_Headroom(0-1),Effective_tok_per_s,Tokens_per_day,Tokens_per_month_30d,Notes
OpenAI,GPU,,0.70,,0.70,0.80,0.90,=C2*D2*E2*F2*G2*H2,=I2*86400,=J2*30,
Anthropic,GPU,,0.70,,0.70,0.80,0.90,=C3*D3*E3*F3*G3*H3,=I3*86400,=J3*30,
Google(Gemini),GPU,,0.70,,0.70,0.80,0.90,=C4*D4*E4*F4*G4*H4,=I4*86400,=J4*30,
Meta(Llama),GPU,,0.70,,0.70,0.80,0.90,=C5*D5*E5*F5*G5*H5,=I5*86400,=J5*30,
Microsoft(Copilot),GPU,,0.70,,0.70,0.80,0.90,=C6*D6*E6*F6*G6*H6,=I6*86400,=J6*30,
ByteDance,GPU,,0.70,,0.70,0.80,0.90,=C7*D7*E7*F7*G7*H7,=I7*86400,=J7*30,
Alibaba,GPU,,0.70,,0.70,0.80,0.90,=C8*D8*E8*F8*G8*H8,=I8*86400,=J8*30,
Tencent,GPU,,0.70,,0.70,0.80,0.90,=C9*D9*E9*F9*G9*H9,=I9*86400,=J9*30,
DeepSeek,GPU,,0.70,,0.70,0.80,0.90,=C10*D10*E10*F10*G10*H10,=I10*86400,=J10*30,
TOTAL,,,,,,,,=SUM(I2:I10),=SUM(J2:J10),=SUM(K2:K10),
