group,financial_year,annual_revenue_coverage,annual_revenue_hhi,annual_revenue_effective_n,annual_revenue_evenness,annual_revenue_top1_share,annual_op_income_coverage,annual_op_income_hhi,annual_op_income_effective_n,annual_op_income_evenness,annual_op_income_top1_share,classification,n_assets,avg_pair_corr,pc1_share,strong_pair_share,hypothesis_read
AI Software,2025,2,0.500243286631423,1.9990273267511043,0.9995136633755521,0.5110292028592966,2,0.7028826487139118,1.4227125990799943,0.7113562995399971,0.8184985468678875,moderate coupling,2,0.36390519012494144,0.6819525950624707,0.0,mixed / inconclusive
NAND,2025,3,0.35218902879617237,2.839384302850459,0.9464614342834863,0.42726572570024146,2,0.5254865889413031,1.9029981374304876,0.9514990687152438,0.6128862014182934,high coupling,3,0.707636152812368,0.8535657688503783,1.0,consistent: balanced revenue mix with strong/moderate coupling
Cooling,2025,4,0.3472930551293295,2.879412603363482,0.7198531508408705,0.4159367646436349,4,0.3580130378595351,2.793194365151433,0.6982985912878582,0.4576548408667836,moderate coupling,4,0.5054432739408634,0.6348270646225378,0.16666666666666666,consistent: balanced revenue mix with strong/moderate coupling
Energy,2025,18,0.08074874556527778,12.384093313147433,0.6880051840637463,0.14645192820447814,15,0.10740531954945957,9.31052581189431,0.620701720792954,0.17868597190770358,weak / fragmented,18,0.3324297354609795,0.4167812345689133,0.06535947712418301,counterexample: balanced revenue mix but weak coupling
Hyperscalers,2025,6,0.24270531200970824,4.120222963887993,0.6867038273146654,0.3444991478690156,6,0.26128847448938713,3.8271875633022514,0.6378645938837085,0.40214256616510724,moderate coupling,6,0.35850097351036603,0.4761380962730153,0.06666666666666667,mixed / inconclusive
AI Chip,2025,5,0.30031771880001884,3.3298068592013337,0.6659613718402667,0.38789250374810813,5,0.47932035651624055,2.08628735751622,0.41725747150324405,0.6076323345731232,moderate coupling,5,0.38942692455326655,0.5239797838814341,0.0,mixed / inconclusive
Server ODM,2025,7,0.22229525629336636,4.498521545958161,0.6426459351368801,0.30571789357193546,7,0.24348074151372787,4.107101012519375,0.5867287160741964,0.31719796891203184,moderate coupling,7,0.42403947139310827,0.5300788486926793,0.09523809523809523,mixed / inconclusive
Neocloud,2025,2,0.7816333025732436,1.279372305028283,0.6396861525141415,0.8752554480438915,0,,,,,high coupling,2,0.664109533564664,0.8320547667823318,1.0,consistent: balanced revenue mix with strong/moderate coupling
meterier,2025,8,0.2028961549067974,4.928629625629727,0.6160787032037158,0.2733059236968892,8,0.23253123837187814,4.300497460047665,0.5375621825059581,0.32876539548473455,weak / fragmented,8,0.33861076618755614,0.4304008154934526,0.03571428571428571,counterexample: balanced revenue mix but weak coupling
components,2025,14,0.12265965021185593,8.152640238846391,0.5823314456318851,0.17167003513899035,14,0.16205951586454193,6.1705725496295685,0.44075518211639775,0.2723522660876397,moderate coupling,14,0.44616367225969966,0.48739417216563213,0.06593406593406594,mixed / inconclusive
CPU,2025,2,0.871854085165439,1.1469809191870042,0.5734904595935021,0.9311925817807161,2,0.8189618822735705,1.2210580512292446,0.6105290256146223,0.8993506493506493,moderate coupling,2,0.37611416160217054,0.6880570808010853,0.0,mixed / inconclusive
DRAM,2025,3,0.5926672470325012,1.6872874365962072,0.562429145532069,0.7377433689622909,2,0.5007881391781729,1.9968524047735385,0.9984262023867693,0.519851186087649,high coupling,3,0.7472105665722104,0.8321119525622135,1.0,consistent: balanced revenue mix with strong/moderate coupling
foundry,2025,2,0.9993725513043483,1.000627842634694,0.500313921317347,0.9996861771674039,2,0.9998621732422321,1.0001378457566015,0.5000689228783007,0.9999310818714077,weak / fragmented,2,0.15269755723211198,0.576348778616056,0.0,mixed / inconclusive
Server OEM,2025,9,0.24399046416316247,4.098520831253778,0.45539120347264206,0.43977939062577465,9,0.2630330286746352,3.8018039218830317,0.4224226579870035,0.45151546877544674,weak / fragmented,9,0.24163561534908384,0.34734753501708054,0.0,mixed / inconclusive
HW equipment,2025,14,0.15807422536296764,6.326142024127052,0.4518672874376466,0.25810244445185315,12,0.20103211873973778,4.974329506493587,0.41452745887446557,0.3262698506817208,high coupling,14,0.6296721802055923,0.6781464988657333,0.3626373626373626,mixed / inconclusive
AI Platforms,2025,9,0.30982787868779227,3.227598511261413,0.3586220568068237,0.47368971784334263,4,0.6258375326528146,1.5978587857477593,0.3994646964369398,0.7766907740582011,moderate coupling,9,0.4466575945624052,0.5235722558432623,0.05555555555555555,mixed / inconclusive
Server EMS,2025,5,0.5615234948136026,1.7808693834475249,0.35617387668950495,0.7314124841285521,5,0.4871127385087253,2.0529128494185085,0.4105825698837017,0.6667543808719407,weak / fragmented,5,0.33582770425609726,0.4783453505549694,0.0,mixed / inconclusive
Server Networking,2025,14,0.24867698178757067,4.021280911533011,0.2872343508237865,0.3985516839103663,9,0.35290014983705936,2.8336627243193826,0.31485141381326476,0.43104223627001936,weak / fragmented,14,0.3429642838170863,0.42420185568907703,0.0,mixed / inconclusive
OSAT / packiging,2025,6,0.9467665383037124,1.0562265981555117,0.17603776635925195,0.972915507716589,6,0.9481800652511413,1.0546519977037625,0.17577533295062708,0.973660984419117,moderate coupling,6,0.38434611584549744,0.49039982740966104,0.06666666666666667,mixed / inconclusive
