group,company,ticker_x,db_ticker,fiscal_year,revenue_annual_growth,op_income_annual_growth,annual_observations,revenue_growth_bucket_floor,revenue_growth_bucket_label,op_income_growth_bucket_floor,op_income_growth_bucket_label,company_best_growth_metric,company_avg_growth_rate,avg_pair_corr,pc1_share,strong_pair_share
AI Chip,AMD,AMD,AMD,2016,,,1,,,,,annual op income YoY,,0.1754741781908492,0.4326006790091565,0.1
AI Chip,NVIDIA,NVDA,NVDA,2016,,,1,,,,,annual op income YoY,,0.1754741781908492,0.4326006790091565,0.1
AI Chip,Qualcomm,QCOM,QCOM,2016,,,1,,,,,annual op income YoY,,0.1754741781908492,0.4326006790091565,0.1
AI Chip,AMD,AMD,AMD,2017,-0.27515437704322554,,1,-0.30000000000000004,-30%~-20%,,,annual revenue YoY,-0.27515437704322554,-0.07164862097435988,0.4497609772153496,0.0
AI Chip,NVIDIA,NVDA,NVDA,2017,0.13365617433414045,0.530241935483871,1,0.1,10%~20%,0.5,50%~60%,annual revenue YoY,0.13365617433414045,-0.07164862097435988,0.4497609772153496,0.0
AI Chip,Qualcomm,QCOM,QCOM,2017,-0.04553177030241251,-0.2349668874172185,1,-0.1,-10%~0%,-0.30000000000000004,-30%~-20%,annual revenue YoY,-0.04553177030241251,-0.07164862097435988,0.4497609772153496,0.0
AI Chip,AMD,AMD,AMD,2018,0.08218491606113765,,1,0.0,0%~10%,,,annual revenue YoY,0.08218491606113765,0.5195986963864139,0.6369441321686058,0.5
AI Chip,NVIDIA,NVDA,NVDA,2018,0.07005553182400681,-0.015810276679841917,1,0.0,0%~10%,-0.1,-10%~0%,annual revenue YoY,0.07005553182400681,0.5195986963864139,0.6369441321686058,0.5
AI Chip,Qualcomm,QCOM,QCOM,2018,-0.06831217119575961,0.12448060941828265,1,-0.1,-10%~0%,0.1,10%~20%,annual revenue YoY,-0.06831217119575961,0.5195986963864139,0.6369441321686058,0.5
AI Chip,AMD,AMD,AMD,2019,0.2162537624450105,,1,0.2,20%~30%,,,annual revenue YoY,0.2162537624450105,0.16697699231591995,0.4221114615436042,0.0
AI Chip,NVIDIA,NVDA,NVDA,2019,0.3792415169660679,1.5890227576974567,1,0.30000000000000004,30%~40%,1.5,150%~160%,annual revenue YoY,0.3792415169660679,0.16697699231591995,0.4221114615436042,0.0
AI Chip,Qualcomm,QCOM,QCOM,2019,-0.05502250148594723,-0.6026173979984604,1,-0.1,-10%~0%,-0.7000000000000001,-70%~-60%,annual revenue YoY,-0.05502250148594723,0.16697699231591995,0.4221114615436042,0.0
AI Chip,AMD,AMD,AMD,2020,0.23262897391966497,2.5511811023622046,1,0.2,20%~30%,2.5,250%~260%,annual revenue YoY,0.23262897391966497,0.4388815808476248,0.5594222630289611,0.1
AI Chip,NVIDIA,NVDA,NVDA,2020,0.4057887120115775,0.6597724922440538,1,0.4,40%~50%,0.6000000000000001,60%~70%,annual revenue YoY,0.4057887120115775,0.4388815808476248,0.5594222630289611,0.1
AI Chip,Qualcomm,QCOM,QCOM,2020,0.015859466259322552,-0.7593955831073227,1,0.0,0%~10%,-0.8,-80%~-70%,annual revenue YoY,0.015859466259322552,0.4388815808476248,0.5594222630289611,0.1
AI Chip,AMD,AMD,AMD,2021,0.03953667953667961,0.39911308203991136,1,0.0,0%~10%,0.30000000000000004,30%~40%,annual revenue YoY,0.03953667953667961,0.21739865534349895,0.5118437311759968,0.2
AI Chip,NVIDIA,NVDA,NVDA,2021,0.20609429689108505,0.18504672897196262,1,0.2,20%~30%,0.1,10%~20%,annual revenue YoY,0.20609429689108505,0.21739865534349895,0.5118437311759968,0.2
AI Chip,Qualcomm,QCOM,QCOM,2021,0.0735040467029322,11.34621578099839,1,0.0,0%~10%,,,annual revenue YoY,0.0735040467029322,0.21739865534349895,0.5118437311759968,0.2
AI Chip,AMD,AMD,AMD,2022,0.450453127321349,1.1695721077654517,1,0.4,40%~50%,1.1,110%~120%,annual revenue YoY,0.450453127321349,0.6800109599476277,0.7542588424892077,0.6
AI Chip,Alchip Technologies,3661.TW,3661.TW,2022,,,1,,,,,annual op income YoY,,0.6800109599476277,0.7542588424892077,0.6
AI Chip,Marvell Technology,MRVL,MRVL,2022,,,1,,,,,annual op income YoY,,0.6800109599476277,0.7542588424892077,0.6
AI Chip,NVIDIA,NVDA,NVDA,2022,-0.06811198361215431,-0.2518401682439537,1,-0.1,-10%~0%,-0.30000000000000004,-30%~-20%,annual revenue YoY,-0.06811198361215431,0.6800109599476277,0.7542588424892077,0.6
AI Chip,Qualcomm,QCOM,QCOM,2022,-0.03056894491822193,-0.18416590583018133,1,-0.1,-10%~0%,-0.2,-20%~-10%,annual revenue YoY,-0.03056894491822193,0.6800109599476277,0.7542588424892077,0.6
AI Chip,AMD,AMD,AMD,2023,0.6832940694458671,1.6647187728268809,1,0.6000000000000001,60%~70%,1.6,160%~170%,annual revenue YoY,0.6832940694458671,0.5265547894601273,0.6398597902911778,0.3
AI Chip,Alchip Technologies,3661.TW,3661.TW,2023,1.1211934609029472,0.6347890723469423,1,1.1,110%~120%,0.6000000000000001,60%~70%,annual revenue YoY,1.1211934609029472,0.5265547894601273,0.6398597902911778,0.3
AI Chip,Marvell Technology,MRVL,MRVL,2023,0.09993438701878099,,1,0.0,0%~10%,,,annual revenue YoY,0.09993438701878099,0.5265547894601273,0.6398597902911778,0.3
AI Chip,NVIDIA,NVDA,NVDA,2023,0.5272943762593882,0.5924104005621926,1,0.5,50%~60%,0.5,50%~60%,annual revenue YoY,0.5272943762593882,0.5265547894601273,0.6398597902911778,0.3
AI Chip,Qualcomm,QCOM,QCOM,2023,0.4264587140368026,0.5649880095923261,1,0.4,40%~50%,0.5,50%~60%,annual revenue YoY,0.4264587140368026,0.5265547894601273,0.6398597902911778,0.3
AI Chip,AMD,AMD,AMD,2024,0.4361080686381891,-0.6535087719298245,1,0.4,40%~50%,-0.7000000000000001,-70%~-60%,annual revenue YoY,0.4361080686381891,0.2360300762093465,0.468565093788062,0.3
AI Chip,Alchip Technologies,3661.TW,3661.TW,2024,0.6571159998328049,0.5945703095685066,1,0.6000000000000001,60%~70%,0.5,50%~60%,annual revenue YoY,0.6571159998328049,0.2360300762093465,0.468565093788062,0.3
AI Chip,Marvell Technology,MRVL,MRVL,2024,0.5030482670349286,,1,0.5,50%~60%,,,annual revenue YoY,0.5030482670349286,0.2360300762093465,0.468565093788062,0.3
AI Chip,NVIDIA,NVDA,NVDA,2024,0.6140329835082459,1.215578111209179,1,0.6000000000000001,60%~70%,1.2000000000000002,120%~130%,annual revenue YoY,0.6140329835082459,0.2360300762093465,0.468565093788062,0.3
AI Chip,Qualcomm,QCOM,QCOM,2024,0.31680867544539115,0.6201859229747675,1,0.30000000000000004,30%~40%,0.6000000000000001,60%~70%,annual revenue YoY,0.31680867544539115,0.2360300762093465,0.468565093788062,0.3
AI Chip,AMD,AMD,AMD,2025,-0.039023770179229644,-0.682753164556962,1,-0.1,-10%~0%,-0.7000000000000001,-70%~-60%,annual revenue YoY,-0.039023770179229644,0.34541753676140574,0.501392329123983,0.1
AI Chip,Alchip Technologies,3661.TW,3661.TW,2025,-0.41223198607572586,-0.2157794204005964,1,-0.5,-50%~-40%,-0.30000000000000004,-30%~-20%,annual revenue YoY,-0.41223198607572586,0.34541753676140574,0.501392329123983,0.1
AI Chip,Marvell Technology,MRVL,MRVL,2025,0.32655073503047705,,1,0.30000000000000004,30%~40%,,,annual revenue YoY,0.32655073503047705,0.34541753676140574,0.501392329123983,0.1
AI Chip,NVIDIA,NVDA,NVDA,2025,0.002229323028906993,-0.5793247684493577,1,0.0,0%~10%,-0.6000000000000001,-60%~-50%,annual revenue YoY,0.002229323028906993,0.34541753676140574,0.501392329123983,0.1
AI Chip,Qualcomm,QCOM,QCOM,2025,-0.18959276018099547,-0.508953341740227,1,-0.2,-20%~-10%,-0.6000000000000001,-60%~-50%,annual revenue YoY,-0.18959276018099547,0.34541753676140574,0.501392329123983,0.1
AI Chip,Marvell Technology,MRVL,MRVL,2026,-0.06958240421650119,-3.3852941176470592,1,-0.1,-10%~0%,,,annual revenue YoY,-0.06958240421650119,0.684053911469937,0.7532402203040972,0.4
AI Chip,NVIDIA,NVDA,NVDA,2026,1.2585452658115224,6.805871212121212,1,1.2000000000000002,120%~130%,,,annual revenue YoY,1.2585452658115224,0.684053911469937,0.7532402203040972,0.4
AI Platforms,Adobe,ADBE,ADBE,2016,,,1,,,,,annual op income YoY,,0.3284539783638078,0.503931040352309,0.0
AI Platforms,IBM,IBM,IBM,2016,,,1,,,,,annual op income YoY,,0.3284539783638078,0.503931040352309,0.0
AI Platforms,Salesforce,CRM,CRM,2016,,,1,,,,,annual op income YoY,,0.3284539783638078,0.503931040352309,0.0
AI Platforms,ServiceNow,NOW,NOW,2016,,,1,,,,,annual op income YoY,,0.3284539783638078,0.503931040352309,0.0
AI Platforms,Adobe,ADBE,ADBE,2017,0.15636263236771097,1.1883397748888376,1,0.1,10%~20%,1.1,110%~120%,annual revenue YoY,0.15636263236771097,0.401745664022469,0.5806599113805181,0.3333333333333333
AI Platforms,IBM,IBM,IBM,2017,-0.119103811709935,,1,-0.2,-20%~-10%,,,annual revenue YoY,-0.119103811709935,0.401745664022469,0.5806599113805181,0.3333333333333333
AI Platforms,Salesforce,CRM,CRM,2017,0.24073867990574627,,1,0.2,20%~30%,,,annual revenue YoY,0.24073867990574627,0.401745664022469,0.5806599113805181,0.3333333333333333
AI Platforms,ServiceNow,NOW,NOW,2017,0.4730947912500385,,1,0.4,40%~50%,,,annual revenue YoY,0.4730947912500385,0.401745664022469,0.5806599113805181,0.3333333333333333
AI Platforms,Adobe,ADBE,ADBE,2018,0.22081463268460855,0.6538703015740315,1,0.2,20%~30%,0.6000000000000001,60%~70%,annual revenue YoY,0.22081463268460855,0.5548155827441111,0.6825299937144225,0.5
AI Platforms,IBM,IBM,IBM,2018,-0.022289915709374775,,1,-0.1,-10%~0%,,,annual revenue YoY,-0.022289915709374775,0.5548155827441111,0.6825299937144225,0.5
AI Platforms,MongoDB,MDB,MDB,2018,,,1,,,,,annual op income YoY,,0.5548155827441111,0.6825299937144225,0.5
AI Platforms,Salesforce,CRM,CRM,2018,,,1,,,,,annual op income YoY,,0.5548155827441111,0.6825299937144225,0.5
AI Platforms,ServiceNow,NOW,NOW,2018,0.383403946373871,,1,0.30000000000000004,30%~40%,,,annual revenue YoY,0.383403946373871,0.5548155827441111,0.6825299937144225,0.5
AI Platforms,Adobe,ADBE,ADBE,2019,0.2471760700870964,0.451588174091893,1,0.2,20%~30%,0.4,40%~50%,annual revenue YoY,0.2471760700870964,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,Cloudflare,NET,NET,2019,,,1,,,,,annual op income YoY,,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,Datadog,DDOG,DDOG,2019,,,1,,,,,annual op income YoY,,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,IBM,IBM,IBM,2019,-0.009759881880403887,,1,-0.1,-10%~0%,,,annual revenue YoY,-0.009759881880403887,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,MongoDB,MDB,MDB,2019,0.7588975195722449,,1,0.7000000000000001,70%~80%,,,annual revenue YoY,0.7588975195722449,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,Salesforce,CRM,CRM,2019,,0.8969222870965776,1,,,0.8,80%~90%,annual op income YoY,0.8969222870965776,0.4556206821746084,0.6002379197612328,0.4
AI Platforms,ServiceNow,NOW,NOW,2019,0.3792341398361594,,1,0.30000000000000004,30%~40%,,,annual revenue YoY,0.3792341398361594,0.4556206821746084,0.6002379197612328,0.4
