group,n_assets,observations,start_date,end_date,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,frequency,monthly_avg_pair_corr,daily_avg_pair_corr,corr_vs_monthly_delta,monthly_vs_daily_delta
Neocloud,2,411,2024-10-22,2026-06-12,0.5410109038736242,0.5410109038736242,0.5410109038736242,0.5410109038736242,0.7705054519368122,0.0,daily,0.6713240039376889,0.5410109038736242,-0.1303131000640647,0.1303131000640647
AI Platforms,9,1431,2020-10-01,2026-06-12,0.46928992567127636,0.48882216433185166,0.7137916204826891,0.15285092638390146,0.54134508685485,0.1111111111111111,daily,0.44876905659969446,0.46928992567127636,0.020520869071581904,-0.020520869071581904
HW equipment,14,1359,2020-01-07,2026-06-12,0.4198738401763799,0.4342447166132716,0.9192110852389325,0.08825184150738932,0.4907057091860861,0.32967032967032966,daily,0.652930629607794,0.4198738401763799,-0.2330567894314141,0.2330567894314141
Cooling,4,1438,2020-03-20,2026-06-12,0.41084654849194485,0.3952981001930948,0.5802812101290917,0.2626994833304524,0.5568089167069437,0.0,daily,0.5447738738364556,0.41084654849194485,-0.13392732534451074,0.13392732534451074
AI Chip,5,1404,2020-01-03,2026-06-12,0.4062723383871824,0.5918536201312952,0.6983397204388064,0.06326682557266132,0.5776390938942443,0.2,daily,0.4686877225638537,0.4062723383871824,-0.06241538417667131,0.06241538417667131
Hyperscalers,6,1619,2020-01-03,2026-06-12,0.397332460230098,0.3080431846783376,0.7554244633140417,0.15388296093062093,0.5045674091505687,0.13333333333333333,daily,0.31264541487383396,0.397332460230098,0.08468704535626403,-0.08468704535626403
DRAM,3,1411,2020-01-03,2026-06-12,0.36795684630434816,0.2586769478154407,0.6759108907583221,0.16928270033928178,0.5982896105544152,0.3333333333333333,daily,0.7922631159048633,0.36795684630434816,-0.42430626960051515,0.42430626960051515
Server Networking,14,460,2024-03-21,2026-06-12,0.3443259953834625,0.39302808637672865,0.6931365674763899,-0.005086601245270853,0.4163430881262182,0.01098901098901099,daily,0.3752479545093796,0.3443259953834625,-0.03092195912591711,0.03092195912591711
CPU,2,688,2023-09-15,2026-06-12,0.34377782505062593,0.34377782505062593,0.34377782505062593,0.34377782505062593,0.671888912525313,0.0,daily,0.37335201708917126,0.34377782505062593,-0.029574192038545333,0.029574192038545333
AI Software,2,1619,2020-01-03,2026-06-12,0.3193519673013874,0.3193519673013874,0.3193519673013874,0.3193519673013874,0.6596759836506937,0.0,daily,0.32513283845137236,0.3193519673013874,-0.00578087114998499,0.00578087114998499
NAND,3,307,2024-12-19,2026-06-12,0.3133555360629994,0.11399448675556179,0.7558345908251596,0.07023753060827678,0.6318645114669309,0.3333333333333333,daily,0.7255284345092644,0.3133555360629994,-0.41217289844626503,0.41217289844626503
components,14,1157,2020-01-07,2026-06-12,0.26239198480257725,0.20150788180964815,0.7590379778297778,0.01585300313959036,0.3145593373715805,0.054945054945054944,daily,0.48855386438818726,0.26239198480257725,-0.22616187958561002,0.22616187958561002
Energy,18,399,2024-03-28,2026-06-12,0.26097476671065384,0.249548175091475,0.8046386400718543,-0.1029783588681796,0.27569713174147925,0.0392156862745098,daily,0.35855830541117706,0.26097476671065384,-0.09758353870052322,0.09758353870052322
meterier,8,1352,2020-01-07,2026-06-12,0.24966685583589893,0.17510651456780368,0.5708271536563327,0.06216570384695616,0.3483433327132068,0.0,daily,0.4064610515107548,0.24966685583589893,-0.15679419567485586,0.15679419567485586
OSAT / packiging,6,1284,2020-01-03,2026-06-12,0.2211419861050329,0.1471235245323395,0.7293629287177735,0.0743452537153409,0.35249477901658244,0.13333333333333333,daily,0.46305698694151637,0.2211419861050329,-0.24191500083648346,0.24191500083648346
Server OEM/EMS/ODM,21,1163,2020-01-07,2026-06-12,0.2119093131335032,0.13613202379330647,0.6751186804306042,0.003144779508949613,0.2641536175909878,0.009523809523809525,daily,0.30940755783677487,0.2119093131335032,-0.09749824470327167,0.09749824470327167
foundry,2,1438,2020-01-03,2026-06-12,0.1530923401312472,0.1530923401312472,0.1530923401312472,0.1530923401312472,0.5765461700656237,0.0,daily,0.1753355642781165,0.1530923401312472,-0.0222432241468693,0.0222432241468693
DRAM,3,77,2020-02-28,2026-06-15,0.7922631159048633,0.7932005006249424,0.8641502513402903,0.7194385957493572,0.8619980189143215,1.0,monthly,0.7922631159048633,0.36795684630434816,0.0,0.42430626960051515
NAND,3,18,2025-01-31,2026-06-15,0.7255284345092644,0.7053693766550937,0.7899067831449978,0.6813091437277017,0.8475774469723776,1.0,monthly,0.7255284345092644,0.3133555360629994,0.0,0.41217289844626503
Neocloud,2,20,2024-11-29,2026-06-12,0.6713240039376889,0.6713240039376889,0.6713240039376889,0.6713240039376889,0.8356620019688443,1.0,monthly,0.6713240039376889,0.5410109038736242,0.0,0.1303131000640647
HW equipment,14,77,2020-02-28,2026-06-15,0.652930629607794,0.6405374474342428,0.8830419178109766,0.459555652217259,0.6809646462159934,0.46153846153846156,monthly,0.652930629607794,0.4198738401763799,0.0,0.2330567894314141
Cooling,4,75,2020-04-30,2026-06-15,0.5447738738364556,0.5127876871199777,0.7774094020341692,0.4590197881114932,0.634411375318429,0.16666666666666666,monthly,0.5447738738364556,0.41084654849194485,0.0,0.13392732534451074
