group,tickers,companies,n_assets,common_days,start_date,end_date,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,strong_pair_share,pc1_share,latest_rolling_corr,rolling_min,rolling_max,classification,interpretation
DRAM,"['000660.KS', '005930.KS', 'MU']","['SK hynix', 'Samsung Electronics', 'Micron Technology']",3,77,2020-02-28,2026-06-15,0.7922631159048633,0.7932005006249424,0.8641502513402903,0.7194385957493572,1.0,0.8619980189143215,0.8313720060314953,0.2586570269517193,0.9015733186704492,high coupling,"DRAM는 그룹 공통요인이 강하게 작동한다. 평균 상관과 PC1 설명력이 모두 높아, 개별 종목보다 섹터/테마 단위로 같이 움직인 기간이 많다."
NAND,"['285A.T', 'STX', 'WDC']","['Kioxia Holdings', 'Seagate Technology', 'Western Digital']",3,18,2025-01-31,2026-06-15,0.7255284345092644,0.7053693766550937,0.7899067831449978,0.6813091437277017,1.0,0.8475774469723776,0.8123019894758036,0.23022499493883383,0.8744901064748118,high coupling,"NAND는 그룹 공통요인이 강하게 작동한다. 평균 상관과 PC1 설명력이 모두 높아, 개별 종목보다 섹터/테마 단위로 같이 움직인 기간이 많다."
Neocloud,"['IREN', 'NBIS']","['IREN', 'Nebius Group']",2,20,2024-11-29,2026-06-12,0.6713240039376889,0.6713240039376889,0.6713240039376889,0.6713240039376889,1.0,0.8356620019688443,0.7304281194212853,0.2519815619191302,0.8878433677020714,high coupling,"Neocloud는 그룹 공통요인이 강하게 작동한다. 평균 상관과 PC1 설명력이 모두 높아, 개별 종목보다 섹터/테마 단위로 같이 움직인 기간이 많다."
HW equipment,"['6146.T', '6857.T', '6920.T', '7735.T', '8035.T', 'AMAT', 'ASM.AS', 'ASML', 'BESI.AS', 'FORM', 'KLAC', 'LRCX', 'MKSI', 'ONTO']","['Disco', 'Advantest', 'Lasertec', 'Screen Holdings', 'Tokyo Electron', 'Applied Materials', 'ASM International', 'ASML', 'BE Semiconductor Industries', 'FormFactor', 'KLA', 'Lam Research', 'MKS Instruments', 'Onto Innovation']",14,77,2020-02-28,2026-06-15,0.652930629607794,0.6405374474342428,0.8830419178109766,0.459555652217259,0.46153846153846156,0.6809646462159934,0.6759662920680876,0.24789802249247345,0.7607725048687216,high coupling,"HW equipment는 그룹 공통요인이 강하게 작동한다. 평균 상관과 PC1 설명력이 모두 높아, 개별 종목보다 섹터/테마 단위로 같이 움직인 기간이 많다."
Cooling,"['ALFA.ST', 'CARR', 'MOD', 'TT']","['Alfa Laval', 'Carrier Global', 'Modine Manufacturing', 'Trane Technologies']",4,75,2020-04-30,2026-06-15,0.5447738738364556,0.5127876871199777,0.7774094020341692,0.4590197881114932,0.16666666666666666,0.634411375318429,0.6418760147145285,0.21524101395074566,0.6915363116226102,moderate coupling,"Cooling는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
components,"['009150.KS', '011070.KS', '2327.TW', '3037.TW', '4062.T', '6981.T', '8046.TW', 'ADI', 'APH', 'ATS.VI', 'MPWR', 'RMBS', 'SIMO', 'TEL']","['Samsung Electro-Mechanics', 'LG Innotek', 'Yageo', 'Unimicron', 'Ibiden', 'Murata Manufacturing', 'Nan Ya PCB', 'Analog Devices', 'Amphenol', 'AT&S', 'Monolithic Power Systems', 'Rambus', 'Silicon Motion', 'TE Connectivity']",14,77,2020-02-28,2026-06-15,0.48855386438818726,0.46861820087525874,0.8826953118211949,0.2838739849511754,0.10989010989010989,0.528510228551005,0.4938309830890191,0.1172084323099027,0.6523383495983067,moderate coupling,"components는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
AI Chip,"['3661.TW', 'AMD', 'MRVL', 'NVDA', 'QCOM']","['Alchip Technologies', 'AMD', 'Marvell Technology', 'NVIDIA', 'Qualcomm']",5,77,2020-02-28,2026-06-15,0.4686877225638537,0.4664057028236582,0.6709710987040907,0.24722539374821886,0.1,0.5840762034106148,0.5212236048424568,0.09018081463804747,0.7111970292573966,moderate coupling,"AI Chip는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
OSAT / packiging,"['002156.SZ', '067310.KQ', '2449.TW', '600584.SS', 'AMKR', 'ASX']","['Tongfu Microelectronics', 'Hana Micron', 'King Yuan Electronics', 'JCET Group', 'Amkor Technology', 'ASX']",6,77,2020-02-28,2026-06-15,0.46305698694151637,0.4413828288852224,0.7540197809880194,0.3121023850365381,0.13333333333333333,0.5559353561239962,0.4878870140552666,0.15073359989183543,0.6161588836297728,moderate coupling,"OSAT / packiging는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
AI Platforms,"['ADBE', 'CRM', 'DDOG', 'IBM', 'MDB', 'NET', 'NOW', 'PLTR', 'SNOW']","['Adobe', 'Salesforce', 'Datadog', 'IBM', 'MongoDB', 'Cloudflare', 'ServiceNow', 'Palantir', 'Snowflake']",9,69,2020-10-30,2026-06-12,0.44876905659969446,0.4566744534695918,0.7916426315578279,0.005727056137054905,0.05555555555555555,0.5253442708511088,0.5437646679602672,0.26622658753206657,0.5993243281712806,moderate coupling,"AI Platforms는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
meterier,"['4063.T', '4109.T', '4186.T', 'AI.PA', 'ENTG', 'GLW', 'LIN', 'MRK.DE']","['Shin-Etsu Chemical', 'Stella Chemifa', 'Tokyo Ohka Kogyo', 'Air Liquide', 'Entegris', 'Corning', 'Linde', 'Merck KGaA']",8,77,2020-02-28,2026-06-15,0.4064610515107548,0.39632562121510057,0.7365508927364508,0.216569641519897,0.03571428571428571,0.4844098045622128,0.41993940800485924,0.06157910022420009,0.625437708693302,moderate coupling,"meterier는 부분적 동조화가 있다. 일부 페어 또는 특정 기간에는 coupling이 강하지만, 그룹 전체가 하나의 factor처럼 움직인다고 보기는 어렵다."
