group,ticker,company,member_role,mean_corr_to_group,median_corr_to_group,max_corr_to_peer,strong_link_count,pc1_loading,best_coupled_peer,best_coupled_peer_company,ticker_x,db_ticker_x,financial_year,financial_quarter,financial_period,revenue_usd_m,operating_income_usd_m,net_income_usd_m,db_ticker_y,market_cap_date,market_cap_usd_b,db_ticker,financial_currency,has_financial_metric,fx_rate_local_per_usd,financial_fx_normalized,revenue_usd_m_reported,operating_income_usd_m_reported,net_income_usd_m_reported,mixed_financial_currency,missing_fx_rate,market_cap_usd_b_share_of_group,revenue_usd_m_share_of_group,operating_income_usd_m_share_of_group,net_income_usd_m_share_of_group
AI Chip,AMD,AMD,partial / bridge,0.45749636017715445,0.4999193633258826,0.5525181675343216,0,0.5009064237624047,NVDA,NVIDIA,AMD,AMD,2025.0,4.0,2025-Q4,10270.0,1752.0,1511.0,,,,AMD,USD,True,1.0,True,10270.0,1752.0,1511.0,True,False,,0.12563004961332122,0.04217828119899627,0.03937772985465711
AI Chip,MRVL,Marvell Technology,partial / bridge,0.4413777766799283,0.4705023024287869,0.502817617752682,0,0.4824796300011594,NVDA,NVIDIA,MRVL,MRVL,2025.0,4.0,2025-Q4,2074.5,367.4,1901.3,,,,MRVL,USD,True,1.0,True,2074.5,367.4,1901.3,True,False,,0.025376780713031635,0.00884492038385344,0.04954922420427502
AI Chip,NVDA,NVIDIA,partial / bridge,0.4284353205828848,0.477938102421112,0.5525181675343216,0,0.4828549440965833,AMD,AMD,NVDA,NVDA,2025.0,4.0,2025-Q4,57006.0,36010.0,31910.0,,,,NVDA,USD,True,1.0,True,57006.0,36010.0,31910.0,True,False,,0.6973385207650428,0.8669177545524289,0.8315971936876958
AI Chip,QCOM,Qualcomm,partial / bridge,0.38945679604434114,0.4588106282329002,0.5233967911704499,0,0.4551392868644659,AMD,AMD,QCOM,QCOM,2025.0,4.0,2025-Q4,12252.0,3366.0,3004.0,,,,QCOM,USD,True,1.0,True,12252.0,3366.0,3004.0,True,False,,0.14987530358932927,0.08103430052272913,0.07828636696452015
AI Chip,3661.TW,Alchip Technologies,weakly coupled,0.2303683692820241,0.24148772823876236,0.32168888410945756,0,0.27569093888173657,MRVL,Marvell Technology,3661.TW,3661.TW,2025.0,4.0,2025-Q4,145.45784615384616,42.56575384615385,45.64286153846154,,,,3661.TW,TWD,True,32.5,True,4727.38,1383.387,1483.393,True,False,,0.0017793453192750282,0.0010247433419921996,0.001189485288851792
AI Platforms,NOW,ServiceNow,coupling core,0.5468317611764991,0.5502063399806094,0.6736278587359085,1,0.38682973461577885,CRM,Salesforce,NOW,NOW,2025.0,4.0,2025-Q4,3568.0,443.0,401.0,,,,NOW,USD,True,1.0,True,3568.0,443.0,401.0,False,False,,0.08013705772704847,0.04348574678573581,0.038969108672502244
AI Platforms,DDOG,Datadog,coupling core,0.5260018045757225,0.521908978864049,0.7910547749400556,1,0.37998231968003915,SNOW,Snowflake,DDOG,DDOG,2025.0,4.0,2025-Q4,953.194,7.983,46.567,,,,DDOG,USD,True,1.0,True,953.194,7.983,46.567,False,False,,0.021408677859606567,0.0007836268997528869,0.004525372776938683
AI Platforms,SNOW,Snowflake,coupling core,0.5235784267444821,0.5312251428559794,0.7910547749400556,1,0.37753371214059717,DDOG,Datadog,SNOW,SNOW,2025.0,4.0,2025-Q4,1212.909,-329.473,-293.957,,,,SNOW,USD,True,1.0,True,1212.909,-329.473,-293.957,False,False,,0.027241860580340987,,
AI Platforms,CRM,Salesforce,partial / bridge,0.48377172797659496,0.4520586139451392,0.6736278587359085,1,0.35504053435516736,NOW,ServiceNow,CRM,CRM,2025.0,4.0,2025-Q4,10259.0,2448.0,2086.0,,,,CRM,USD,True,1.0,True,10259.0,2448.0,2086.0,False,False,,0.2304165009029681,0.2403004698227568,0.20271710895471243
AI Platforms,NET,Cloudflare,partial / bridge,0.4290861150068037,0.4699612619916542,0.5976843852767223,0,0.34302292926448785,SNOW,Snowflake,NET,NET,2025.0,4.0,2025-Q4,614.507,-49.234,-12.077,,,,NET,USD,True,1.0,True,614.507,-49.234,-12.077,False,False,,0.013801788938530093,,
