group,ticker,company,member_role,mean_corr_to_group,median_corr_to_group,max_corr_to_peer,strong_link_count,pc1_loading,best_coupled_peer,best_coupled_peer_company
AI Chip,AMD,AMD,partial / bridge,0.45749636017715445,0.4999193633258826,0.5525181675343216,0,0.5009064237624047,NVDA,NVIDIA
AI Chip,MRVL,Marvell Technology,partial / bridge,0.4413777766799283,0.4705023024287869,0.502817617752682,0,0.4824796300011594,NVDA,NVIDIA
AI Chip,NVDA,NVIDIA,partial / bridge,0.4284353205828848,0.477938102421112,0.5525181675343216,0,0.4828549440965833,AMD,AMD
AI Chip,QCOM,Qualcomm,partial / bridge,0.38945679604434114,0.4588106282329002,0.5233967911704499,0,0.4551392868644659,AMD,AMD
AI Chip,3661.TW,Alchip Technologies,weakly coupled,0.2303683692820241,0.24148772823876236,0.32168888410945756,0,0.27569093888173657,MRVL,Marvell Technology
AI Platforms,NOW,ServiceNow,coupling core,0.5468317611764991,0.5502063399806094,0.6736278587359085,1,0.38682973461577885,CRM,Salesforce
AI Platforms,DDOG,Datadog,coupling core,0.5260018045757225,0.521908978864049,0.7910547749400556,1,0.37998231968003915,SNOW,Snowflake
AI Platforms,SNOW,Snowflake,coupling core,0.5235784267444821,0.5312251428559794,0.7910547749400556,1,0.37753371214059717,DDOG,Datadog
AI Platforms,CRM,Salesforce,partial / bridge,0.48377172797659496,0.4520586139451392,0.6736278587359085,1,0.35504053435516736,NOW,ServiceNow
AI Platforms,NET,Cloudflare,partial / bridge,0.4290861150068037,0.4699612619916542,0.5976843852767223,0,0.34302292926448785,SNOW,Snowflake
AI Platforms,MDB,MongoDB,partial / bridge,0.42262010268373107,0.43674865293047976,0.591926375755162,0,0.3157483984773748,SNOW,Snowflake
AI Platforms,ADBE,Adobe,partial / bridge,0.4195675342511487,0.3666731764393415,0.6337842637202361,0,0.2990469121125676,NOW,ServiceNow
AI Platforms,PLTR,Palantir,partial / bridge,0.4104057571072586,0.4604505813373775,0.5493615651039506,0,0.3063689446000676,CRM,Salesforce
AI Platforms,IBM,IBM,weakly coupled,0.2580551215394066,0.3244364188123884,0.40551687141953807,0,0.19167144103429196,NOW,ServiceNow
AI Software,BIDU,Baidu,partial / bridge,0.36390519012494144,0.36390519012494144,0.36390519012494144,0,0.7071067811865475,META,Meta Platforms
AI Software,META,Meta Platforms,partial / bridge,0.36390519012494144,0.36390519012494144,0.36390519012494144,0,0.7071067811865475,BIDU,Baidu
CPU,ARM,ARM Holdings,partial / bridge,0.37611416160217054,0.37611416160217054,0.37611416160217054,0,0.7071067811865476,INTC,Intel
CPU,INTC,Intel,partial / bridge,0.37611416160217054,0.37611416160217054,0.37611416160217054,0,0.7071067811865474,ARM,ARM Holdings
Cooling,TT,Trane Technologies,coupling core,0.583747107051862,0.5088848038411465,0.780143233847051,1,0.5500523545908003,CARR,Carrier Global
Cooling,CARR,Carrier Global,coupling core,0.5687840304571942,0.47044492421659756,0.780143233847051,1,0.5472101604474596,TT,Trane Technologies
Cooling,MOD,Modine Manufacturing,partial / bridge,0.4448463976742691,0.47044492421659756,0.5088848038411465,0,0.44829761943326213,TT,Trane Technologies
Cooling,ALFA.ST,Alfa Laval,partial / bridge,0.42439556058012845,0.4557639333079342,0.4622132834673882,0,0.44388364682949616,TT,Trane Technologies
DRAM,000660.KS,SK hynix,coupling core,0.7921317149114762,0.7921317149114762,0.8156787375567921,2,0.599418524148643,MU,Micron Technology
DRAM,MU,Micron Technology,coupling core,0.7365235037252355,0.7365235037252355,0.8156787375567921,2,0.5725092254665181,000660.KS,SK hynix
DRAM,005930.KS,Samsung Electronics,coupling core,0.7129764810799195,0.7129764810799195,0.7685846922661602,2,0.5594020197167594,000660.KS,SK hynix
Energy,ETN,Eaton,coupling core,0.42044591154506716,0.384995742817409,0.7311329367234445,4,0.32110900560391653,GEV,GE Vernova
Energy,ABBN.SW,ABB,coupling core,0.41778518245921453,0.42338940947414655,0.8050997798724084,2,0.26930412834780526,SU.PA,Schneider Electric
Energy,SU.PA,Schneider Electric,coupling core,0.4108226551519055,0.40636033854484205,0.8050997798724084,2,0.2908364787272699,ABBN.SW,ABB
Energy,GEV,GE Vernova,coupling core,0.39780365343718765,0.3145173526193804,0.7410252783781791,5,0.2701969904246302,ENR.DE,Siemens Energy
Energy,VST,Vistra,coupling core,0.39064476955695276,0.3348927030694689,0.7343344199778685,2,0.28514351088717294,GEV,GE Vernova
Energy,VRT,Vertiv,coupling core,0.36988210115070136,0.2938221089436645,0.7182129365400517,2,0.3140486929729453,GEV,GE Vernova
Energy,CEG,Constellation Energy,coupling core,0.31409865989216107,0.24212672416445416,0.7193834256581881,2,0.26339265792880245,VST,Vistra
Energy,ENR.DE,Siemens Energy,partial / bridge,0.38672298010920736,0.3522780819374104,0.7410252783781791,1,0.2994976396326842,GEV,GE Vernova
Energy,NEE,NextEra Energy,partial / bridge,0.3127376138496193,0.2898120183607214,0.5982401543331874,0,0.23256207693587996,SO,Southern Company
Energy,SO,Southern Company,partial / bridge,0.29264009338199254,0.23839951928373065,0.6309260374490571,0,0.16746358063981084,D,Dominion Energy
Energy,D,Dominion Energy,partial / bridge,0.28407502310174104,0.2795847167114585,0.6309260374490571,0,0.16855576772427525,SO,Southern Company
Energy,IBE.MC,Iberdrola,partial / bridge,0.2674728757946971,0.2684355019180626,0.5818895715637666,0,0.0792283644296859,RWE.DE,RWE
Energy,RWE.DE,RWE,partial / bridge,0.2585357689756547,0.26055254899485975,0.5818895715637666,0,0.16114753433232643,IBE.MC,Iberdrola
Energy,2308.TW,Delta Electronics,partial / bridge,0.25746989343857013,0.1881199729499477,0.5580340764328695,0,0.13108062918306856,ABBN.SW,ABB
Energy,BEPC,Brookfield Renewable,weakly coupled,0.3275371289830526,0.33632981867917655,0.5462281083554821,0,0.207372918611835,NEE,NextEra Energy
Energy,EQIX,Equinix,weakly coupled,0.3151564879334958,0.29416659417546964,0.4003961760897368,0,0.19781751713848603,SU.PA,Schneider Electric
Energy,BE,Bloom Energy,weakly coupled,0.3023052394055818,0.2624259891619829,0.504372901332454,0,0.22403629603286143,ABBN.SW,ABB
Energy,6501.T,Hitachi,weakly coupled,0.25759920013082854,0.26958848463663704,0.4906897012376861,0,0.18833088069866466,CEG,Constellation Energy
HW equipment,LRCX,Lam Research,coupling core,0.7107931849744413,0.6810176162149463,0.8757344649233803,9,0.2942266496049237,AMAT,Applied Materials
HW equipment,AMAT,Applied Materials,coupling core,0.7031749491664037,0.6900280060869917,0.8757344649233803,9,0.2944989715934898,LRCX,Lam Research
HW equipment,KLAC,KLA,coupling core,0.6816980326209651,0.7041679754922904,0.8327716772374361,8,0.2871298565764842,AMAT,Applied Materials
HW equipment,8035.T,Tokyo Electron,coupling core,0.6724665070908039,0.6719543901941548,0.7845962487583845,7,0.285952924196099,LRCX,Lam Research
HW equipment,MKSI,MKS Instruments,coupling core,0.6503968476798605,0.6260709876152598,0.8228212766807403,5,0.27070161144117766,LRCX,Lam Research
HW equipment,ASML,ASML,coupling core,0.6475166940218349,0.629095840838709,0.7897952975467083,5,0.2768051713891881,LRCX,Lam Research
HW equipment,ASM.AS,ASM International,coupling core,0.6458218847528041,0.6354903928513191,0.7654677566874785,6,0.2734227505846066,ASML,ASML
HW equipment,7735.T,Screen Holdings,coupling core,0.623051691319576,0.646815715295148,0.7714048554499976,6,0.2629720898378093,8035.T,Tokyo Electron
HW equipment,ONTO,Onto Innovation,coupling core,0.6196083760236988,0.6155481608732848,0.7163967993557295,3,0.2547623026718691,AMAT,Applied Materials
HW equipment,6146.T,Disco,coupling core,0.6007431115070624,0.5881411729651742,0.6993279147249203,3,0.2435489370823921,7735.T,Screen Holdings
HW equipment,BESI.AS,BE Semiconductor Industries,coupling core,0.5929476507324201,0.6052200758959277,0.7065036936378222,3,0.26100339851969473,ASM.AS,ASM International
HW equipment,6857.T,Advantest,coupling core,0.5754372224500084,0.5653953151535145,0.6891368837917388,2,0.2468424094816787,6146.T,Disco
HW equipment,6920.T,Lasertec,coupling core,0.5500369651542392,0.5705805869902506,0.6031892405361314,0,0.23462329815968944,ASML,ASML
HW equipment,FORM,FormFactor,coupling core,0.5417174053841755,0.5598559834419201,0.6165967420950204,0,0.2456657531476902,AMAT,Applied Materials
Hyperscalers,MSFT,Microsoft,partial / bridge,0.45020443472247396,0.5727073625415138,0.6488166677175947,0,0.497808705089342,AMZN,Amazon
Hyperscalers,AMZN,Amazon,partial / bridge,0.41857627215043136,0.41356167823655837,0.6488166677175947,0,0.47582420966340666,MSFT,Microsoft
Hyperscalers,GOOGL,Google,partial / bridge,0.3933856850603407,0.2928456974349023,0.628249820006544,0,0.45103392454089136,AMZN,Amazon
Hyperscalers,BABA,Alibaba Group,partial / bridge,0.3104735244068267,0.21267206778929193,0.7025906497109765,1,0.3149696717695293,TCEHY,TCEHY
Hyperscalers,ORCL,Oracle,partial / bridge,0.30832515769347496,0.2928456974349023,0.6213525692519775,0,0.3789793056494253,MSFT,Microsoft
Hyperscalers,TCEHY,TCEHY,partial / bridge,0.27004076702864876,0.19842467065056674,0.7025906497109765,1,0.28198405150572425,BABA,Alibaba Group
NAND,WDC,Western Digital,coupling core,0.7144824647275747,0.7144824647275747,0.7248007761451791,2,0.5981614462553592,285A.T,Kioxia Holdings
NAND,285A.T,Kioxia Holdings,coupling core,0.7093721525635668,0.7093721525635668,0.7248007761451791,2,0.5407598037593867,WDC,Western Digital
NAND,STX,Seagate Technology,coupling core,0.6990538411459625,0.6990538411459625,0.7041641533099704,2,0.5914234682964539,WDC,Western Digital
Neocloud,IREN,IREN,coupling core,0.664109533564664,0.664109533564664,0.664109533564664,1,0.7071067811865475,NBIS,Nebius Group
Neocloud,NBIS,Nebius Group,coupling core,0.664109533564664,0.664109533564664,0.664109533564664,1,0.7071067811865475,IREN,IREN
OSAT / packiging,ASX,ASX,partial / bridge,0.4740888382956103,0.45305344580609863,0.6244868118180023,0,0.4816260413725333,AMKR,Amkor Technology
OSAT / packiging,2449.TW,King Yuan Electronics,partial / bridge,0.3934495599972882,0.3626673134183356,0.6158843338444853,0,0.42078487494127337,ASX,ASX
OSAT / packiging,600584.SS,JCET Group,partial / bridge,0.3815135202921667,0.3566998256020425,0.6877493662468449,1,0.3981182276466485,002156.SZ,Tongfu Microelectronics
OSAT / packiging,AMKR,Amkor Technology,partial / bridge,0.3681983849220366,0.3778857667956547,0.6244868118180023,0,0.3994140048754174,ASX,ASX
OSAT / packiging,002156.SZ,Tongfu Microelectronics,partial / bridge,0.35377869740050927,0.2835264955219341,0.6877493662468449,1,0.3750359615204967,600584.SS,JCET Group
OSAT / packiging,067310.KQ,Hana Micron,weakly coupled,0.33504769416537367,0.3268536887511543,0.45305344580609863,0,0.3637235246499027,ASX,ASX
Server EMS,FLEX,Flex Ltd,partial / bridge,0.4279274587213385,0.4606366173334629,0.5260003117650953,0,0.5328133124931518,SANM,Sanmina
Server EMS,CLS,Celestica,partial / bridge,0.3527342996765728,0.3679343137987393,0.4791099025126763,0,0.46700908315001394,SANM,Sanmina
Server EMS,SANM,Sanmina,weakly coupled,0.3486350964892002,0.38845007247672775,0.5260003117650953,0,0.4738918774073165,FLEX,Flex Ltd
Server EMS,2317.TW,Hon Hai Precision Industry (Foxconn),weakly coupled,0.33309991417325346,0.3063611825167726,0.4525409493644579,0,0.43122370197433274,FLEX,Flex Ltd
Server EMS,002475.SZ,Luxshare Precision,weakly coupled,0.21674175222012138,0.23019747852473466,0.314932122592766,0,0.2957787985444184,2317.TW,Hon Hai Precision Industry (Foxconn)
Server Networking,CRDO,Credo Technology,partial / bridge,0.441871560244446,0.47242652375082816,0.6162857214013303,0,0.33945947832318735,AVGO,Broadcom
Server Networking,COHR,Coherent Corp,partial / bridge,0.40433321924385307,0.4105238959785108,0.5578523676639361,0,0.3136213025769565,SMTC,Semtech
Server Networking,SMTC,Semtech,partial / bridge,0.38701846521247735,0.40277602225658415,0.5578523676639361,0,0.2511270595887734,COHR,Coherent Corp
Server Networking,MTSI,MACOM Technology,partial / bridge,0.3797141785694532,0.3797439311327711,0.5292442060954059,0,0.304566380197451,SMTC,Semtech
Server Networking,AVGO,Broadcom,partial / bridge,0.37280598001038706,0.39299962987890213,0.6162857214013303,0,0.257663364324736,CRDO,Credo Technology
Server Networking,CSCO,Cisco,partial / bridge,0.3674475123474803,0.4010689862658865,0.5411237243114121,0,0.24771142207499725,ANET,Arista Networks
Server Networking,ALAB,Astera Labs,partial / bridge,0.3672892454694399,0.42931999769648077,0.632342354244791,0,0.2622384324103315,2345.TW,Accton Technology
Server Networking,FN,Fabrinet,partial / bridge,0.35662220303964465,0.40277602225658415,0.5504112781089954,0,0.2624465285607061,CRDO,Credo Technology
Server Networking,ANET,Arista Networks,partial / bridge,0.35311839732694467,0.3149867399878633,0.5411237243114121,0,0.29842261970481326,CSCO,Cisco
Server Networking,2345.TW,Accton Technology,partial / bridge,0.2680009553397762,0.24405429131392206,0.632342354244791,0,0.3078216905399444,ALAB,Astera Labs
Server Networking,300308.SZ,Zhongji Innolight,partial / bridge,0.2064643444417818,0.18162967577949843,0.551371915380435,0,0.16851102535112616,ALAB,Astera Labs
Server Networking,AAOI,Applied Optoelectronics,weakly coupled,0.3296576159847397,0.31298063803648796,0.4979155162488919,0,0.267307368959038,MTSI,MACOM Technology
Server Networking,LITE,Lumentum,weakly coupled,0.32923181191925593,0.3510336522273735,0.52621688663576,0,0.23766598366555555,FN,Fabrinet
Server Networking,NOK,Nokia,weakly coupled,0.23792448428952856,0.25638817588261065,0.40485913662848866,0,0.15824145897737388,CSCO,Cisco
Server ODM,3231.TW,Wistron,coupling core,0.5101039556224131,0.4908428936504913,0.7083296305010188,2,0.4358142606243202,2382.TW,Quanta Computer
Server ODM,2382.TW,Quanta Computer,coupling core,0.5055984448329304,0.5121574899159438,0.7083296305010188,1,0.4373968270114438,3231.TW,Wistron
Server ODM,2356.TW,Inventec,partial / bridge,0.4932499137181728,0.5287560973538997,0.654106262219195,1,0.43063992278385327,3231.TW,Wistron
Server ODM,2376.TW,GIGABYTE,partial / bridge,0.4537041908409564,0.4618662807113112,0.5316968421651929,0,0.3958494107785342,2382.TW,Quanta Computer
Server ODM,2324.TW,Compal Electronics,partial / bridge,0.3970658412889984,0.44574900993975375,0.5748315843058144,0,0.3565983644138583,2356.TW,Inventec
Server ODM,3706.TW,MiTAC Holdings,weakly coupled,0.3151200535668617,0.3121046476654165,0.38447282996894144,0,0.2878508223781589,3231.TW,Wistron
Server ODM,6669.TW,Wiwynn,weakly coupled,0.29343389988142443,0.29242200274532876,0.4362780712270991,0,0.25803479881864794,2376.TW,GIGABYTE
Server OEM,0992.HK,Lenovo,partial / bridge,0.3133614622752928,0.2941859761866724,0.5555270370590669,0,0.4358092794998275,DELL,Dell Technologies
Server OEM,DELL,Dell Technologies,partial / bridge,0.3121226975543977,0.3438602744840097,0.5555270370590669,0,0.42949433377835755,0992.HK,Lenovo
Server OEM,2357.TW,ASUSTeK Computer,partial / bridge,0.25406266452005866,0.2020428048733352,0.5511566706669657,0,0.3687724769065875,0992.HK,Lenovo
Server OEM,000977.SZ,Inspur Electronic Information,partial / bridge,0.17541387568876904,0.12767470528386277,0.619372243970508,0,0.18364892315355866,000938.SZ,Unisplendour
Server OEM,000938.SZ,Unisplendour,partial / bridge,0.16019295014420568,0.1075347807455173,0.619372243970508,0,0.16402235130534787,000977.SZ,Inspur Electronic Information
Server OEM,HPE,Hewlett Packard Enterprise,weakly coupled,0.3146051928891401,0.2974174256839188,0.5370424584972502,0,0.42567701812127906,DELL,Dell Technologies
Server OEM,SMCI,Super Micro Computer,weakly coupled,0.27941158830956403,0.2779880741734601,0.4178598861522782,0,0.3543774062484337,DELL,Dell Technologies
Server OEM,PSTG,Pure Storage,weakly coupled,0.23935788894028415,0.28048114138643576,0.3362094250291257,0,0.3109650360294735,HPE,Hewlett Packard Enterprise
