group,member_role,members,companies,avg_mean_corr_to_group,avg_pc1_loading,market_cap_usd_b,market_cap_usd_b_share_of_group,market_cap_usd_b_coverage,revenue_usd_m,revenue_usd_m_share_of_group,revenue_usd_m_coverage,operating_income_usd_m,operating_income_usd_m_share_of_group,operating_income_usd_m_coverage,net_income_usd_m,net_income_usd_m_share_of_group,net_income_usd_m_coverage,financial_currency,financial_year,financial_quarter,financial_period,mixed_financial_currency,financial_fx_normalized,missing_fx_rate
AI Chip,partial / bridge,4,"AMD, Marvell Technology, NVIDIA, Qualcomm",0.42919156337107717,0.4803450711811533,,,0,81602.5,0.998220654680725,4,41495.4,0.9989752566580078,4,38326.3,0.9988105147111481,4,"TWD, USD",2025,4,2025-Q4,True,True,False
AI Chip,weakly coupled,1,Alchip Technologies,0.2303683692820241,0.27569093888173657,,,0,145.45784615384616,0.0017793453192750282,1,42.56575384615385,0.0010247433419921996,1,45.64286153846154,0.001189485288851792,1,"TWD, USD",2025,4,2025-Q4,True,True,False
AI Platforms,coupling core,3,"ServiceNow, Datadog, Snowflake",0.5321373308322346,0.3814485888121384,,,0,5734.102999999999,0.128787596166996,3,121.50999999999999,0.011927659349739859,3,153.61,0.014927792476765761,3,USD,2025,4,2025-Q4,False,True,False
AI Platforms,partial / bridge,5,"Salesforce, Cloudflare, MongoDB, Adobe, Palantir",0.4330902474051074,0.32384554376193303,,,0,19102.618,0.4290436102589,5,5216.736000000001,0.5120850129662129,5,4536.592,0.44086520361796583,5,USD,2025,4,2025-Q4,False,True,False
AI Platforms,weakly coupled,1,IBM,0.2580551215394066,0.19167144103429196,,,0,19687.0,0.44216879357410405,1,4849.0,0.4759873276840472,1,5600.0,0.5442070039052683,1,USD,2025,4,2025-Q4,False,True,False
AI Software,partial / bridge,2,"Baidu, Meta Platforms",0.36390519012494144,0.7071067811865475,,,0,92633.0,1.0,2,26228.0,1.0,2,24550.0,1.0,2,USD,2025,4,2025-Q4,False,True,False
CPU,partial / bridge,2,"ARM Holdings, Intel",0.37611416160217054,0.7071067811865475,,,0,14916.0,1.0,2,741.0,1.0,2,-368.0,1.0,2,USD,2025,4,2025-Q4,False,True,False
Cooling,coupling core,2,"Trane Technologies, Carrier Global",0.5762655687545281,0.5486312575191299,,,0,9981.5,0.7915588057029892,2,873.0,0.693753831482869,2,644.3,0.8202717203499263,2,"SEK, USD",2025,4,2025-Q4,True,True,False
Cooling,partial / bridge,2,"Modine Manufacturing, Alfa Laval",0.43462097912719877,0.44609063313137914,,,0,2628.4285714285716,0.20844119429701088,2,385.37142857142857,0.306246168517131,2,141.17142857142858,0.17972827965007368,2,"SEK, USD",2025,4,2025-Q4,True,True,False
DRAM,coupling core,3,"SK hynix, Micron Technology, Samsung Electronics",0.7472105665722104,0.5771099231106401,,,0,105428.52463768117,1.0,3,34573.12608695652,1.0,3,30248.577536231882,1.0,3,"KRW, USD",2025,4,2025-Q4,True,True,False
