group,left_ticker,left_company,right_ticker,right_company,observations,start_date,end_date,pearson_corr,beta_left_to_right,same_direction_share
AI Chip,AMD,AMD,QCOM,Qualcomm,77,2020-02-28,2026-06-15,0.6709710987040907,1.0160507988843273,0.6883116883116883
AI Chip,AMD,AMD,NVDA,NVIDIA,77,2020-02-28,2026-06-15,0.6480337466525093,0.8125059211342353,0.7142857142857143
AI Chip,AMD,AMD,MRVL,Marvell Technology,77,2020-02-28,2026-06-15,0.5880517546205098,0.6334286595825889,0.6883116883116883
AI Chip,MRVL,Marvell Technology,NVDA,NVIDIA,77,2020-02-28,2026-06-15,0.5416376479012115,0.6304571819988241,0.7012987012987013
AI Chip,NVDA,NVIDIA,QCOM,Qualcomm,77,2020-02-28,2026-06-15,0.47957713351725967,0.5792168178180696,0.6623376623376623
AI Chip,MRVL,Marvell Technology,QCOM,Qualcomm,77,2020-02-28,2026-06-15,0.4532342721300567,0.6371654100951109,0.6753246753246753
AI Chip,3661.TW,Alchip Technologies,MRVL,Marvell Technology,77,2020-02-28,2026-06-15,0.423280736381405,0.5309535565558897,0.6883116883116883
AI Chip,3661.TW,Alchip Technologies,AMD,AMD,77,2020-02-28,2026-06-15,0.3607120951509077,0.42005540388519325,0.6103896103896104
AI Chip,3661.TW,Alchip Technologies,NVDA,NVIDIA,77,2020-02-28,2026-06-15,0.27415334683236875,0.40028409606752074,0.6623376623376623
AI Chip,3661.TW,Alchip Technologies,QCOM,Qualcomm,77,2020-02-28,2026-06-15,0.24722539374821886,0.43596392728955846,0.5714285714285714
AI Platforms,DDOG,Datadog,SNOW,Snowflake,69,2020-10-30,2026-06-12,0.7916426315578279,0.7597950273763409,0.7246376811594203
AI Platforms,CRM,Salesforce,NOW,ServiceNow,77,2020-02-28,2026-06-12,0.6828683654738509,0.7131724400454925,0.7532467532467533
AI Platforms,DDOG,Datadog,NOW,ServiceNow,77,2020-02-28,2026-06-12,0.6331911837426067,0.9675445902979007,0.6623376623376623
AI Platforms,NOW,ServiceNow,SNOW,Snowflake,69,2020-10-30,2026-06-12,0.6306253845326943,0.422302608922073,0.6811594202898551
AI Platforms,ADBE,Adobe,NOW,ServiceNow,77,2020-02-28,2026-06-12,0.6299275582878172,0.6492137626442436,0.7142857142857143
AI Platforms,ADBE,Adobe,CRM,Salesforce,77,2020-02-28,2026-06-12,0.6141063685143101,0.606014691492743,0.6233766233766234
AI Platforms,NET,Cloudflare,SNOW,Snowflake,69,2020-10-30,2026-06-12,0.5985976341222784,0.7395515548364334,0.6811594202898551
AI Platforms,MDB,MongoDB,SNOW,Snowflake,69,2020-10-30,2026-06-12,0.5919411660670135,0.7294587544933799,0.6666666666666666
AI Platforms,DDOG,Datadog,NET,Cloudflare,77,2020-02-28,2026-06-12,0.5835622553211139,0.4995041961550335,0.7532467532467533
AI Platforms,DDOG,Datadog,MDB,MongoDB,77,2020-02-28,2026-06-12,0.5794590006742096,0.4920977173096777,0.6493506493506493
AI Platforms,CRM,Salesforce,PLTR,Palantir,69,2020-10-30,2026-06-12,0.5520708470904937,0.24229827940485799,0.7681159420289855
AI Platforms,NET,Cloudflare,PLTR,Palantir,69,2020-10-30,2026-06-12,0.5416519389721015,0.4475737956309418,0.7971014492753623
AI Platforms,NOW,ServiceNow,PLTR,Palantir,69,2020-10-30,2026-06-12,0.47807590693043234,0.2141213952878131,0.7101449275362319
AI Platforms,CRM,Salesforce,SNOW,Snowflake,69,2020-10-30,2026-06-12,0.4745749848724938,0.3114221276020376,0.7391304347826086
AI Platforms,NET,Cloudflare,NOW,ServiceNow,77,2020-02-28,2026-06-12,0.4741705962669254,0.8464840950363849,0.7012987012987013
