group,fiscal_year,fiscal_quarter,period_key,revenue_usd_m,operating_income_usd_m,company_coverage,revenue_yoy_growth,revenue_qoq_growth,op_income_yoy_growth,op_income_qoq_growth,best_growth_metric,best_growth_rate,avg_pair_corr,pc1_share,strong_pair_share,classification,n_assets,momentum_read
NAND,2016,1,2016Q1,3785.0,925.0,2,,,,,,,0.5500479329800854,0.7750239664900427,0.0,high coupling,3,insufficient momentum coverage
Hyperscalers,2016,1,2016Q1,71772.0,13509.0,4,,,,,,,0.4144853174544705,0.5359089468985468,0.2,moderate coupling,6,insufficient momentum coverage
AI Software,2016,1,2016Q1,3543.0,933.0,1,,,,,,,0.33199855902562836,0.6659992795128142,0.0,moderate coupling,2,insufficient momentum coverage
AI Platforms,2016,1,2016Q1,20911.145,63.452,4,,,,,,,0.3284539783638078,0.503931040352309,0.0,moderate coupling,9,insufficient momentum coverage
Server OEM,2016,1,2016Q1,13496.322,763.626,2,,,,,,,0.3026696495953829,0.6529478277959905,0.2222222222222222,weak / fragmented,9,insufficient momentum coverage
components,2016,1,2016Q1,3967.438,916.883,5,,,,,,,0.1964524907885637,0.3511463931663306,0.04395604395604396,moderate coupling,14,insufficient momentum coverage
HW equipment,2016,1,2016Q1,4489.313,674.867,6,,,,,,,0.17646757711681876,0.3649898946381713,0.08974358974358974,high coupling,14,insufficient momentum coverage
AI Chip,2016,1,2016Q1,9232.0,2078.0,3,,,,,,,0.1754741781908492,0.4326006790091565,0.1,moderate coupling,5,insufficient momentum coverage
Server EMS,2016,1,2016Q1,8313.907,53.48,2,,,,,,,0.15587402219301966,0.4296696682912894,0.1,weak / fragmented,5,insufficient momentum coverage
Energy,2016,1,2016Q1,13458.173999999999,3239.449,5,,,,,,,0.14110964092502204,0.4281091945377019,0.14545454545454545,weak / fragmented,18,insufficient momentum coverage
Server Networking,2016,1,2016Q1,13144.993,2416.2129999999997,7,,,,,,,0.12880936732507567,0.37454840821673835,0.045454545454545456,weak / fragmented,14,insufficient momentum coverage
DRAM,2016,1,2016Q1,4573.0,1085.0,1,,,,,,,0.06537045537342055,0.3973439613204209,0.0,high coupling,3,insufficient momentum coverage
meterier,2016,1,2016Q1,263.373,439.539,2,,,,,,,0.05507937836998749,0.3043750280131596,0.07142857142857142,weak / fragmented,8,insufficient momentum coverage
Cooling,2016,1,2016Q1,2887.8,171.1,1,,,,,,,0.026367784867299366,0.5507427452760371,0.0,moderate coupling,4,insufficient momentum coverage
OSAT / packiging,2016,1,2016Q1,742.875,53.979,1,,,,,,,-0.023342168809717408,0.3075286283668626,0.0,moderate coupling,6,insufficient momentum coverage
NAND,2016,2,2016Q2,3696.0,1519.0,2,,-0.02351387054161158,,0.6514069689148243,op income QoQ,0.6514069689148243,0.5500479329800854,0.7750239664900427,0.0,high coupling,3,strong coupling with positive fundamental momentum
Hyperscalers,2016,2,2016Q2,76980.0,16607.0,4,,0.07631051451873216,,0.3576536268528089,op income QoQ,0.3576536268528089,0.4144853174544705,0.5359089468985468,0.2,moderate coupling,6,mixed / modest signal
AI Software,2016,2,2016Q2,4042.0,1273.0,1,,0.1408410951171324,,0.36441586280814575,op income QoQ,0.36441586280814575,0.33199855902562836,0.6659992795128142,0.0,moderate coupling,2,fundamental momentum present but stock coupling weak
AI Platforms,2016,2,2016Q2,22221.874,106.948,4,,0.09138148274461229,,0.11901170351105317,op income QoQ,0.11901170351105317,0.3284539783638078,0.503931040352309,0.0,moderate coupling,9,mixed / modest signal
Server OEM,2016,2,2016Q2,13052.014,470.885,2,,0.048017618875693724,,-0.029647996616189443,revenue QoQ,0.048017618875693724,0.3026696495953829,0.6529478277959905,0.2222222222222222,weak / fragmented,9,mixed / modest signal
components,2016,2,2016Q2,4057.247,983.3729999999999,5,,0.04501700009488921,,0.16984211000936308,op income QoQ,0.16984211000936308,0.1964524907885637,0.3511463931663306,0.04395604395604396,moderate coupling,14,fundamental momentum present but stock coupling weak
HW equipment,2016,2,2016Q2,4691.078,653.981,6,,0.03071701662725035,,0.03214848323830494,op income QoQ,0.03214848323830494,0.17646757711681876,0.3649898946381713,0.08974358974358974,high coupling,14,mixed / modest signal
AI Chip,2016,2,2016Q2,8939.0,1362.0,3,,-0.038104733288931235,,-0.13662148980953848,revenue QoQ,-0.038104733288931235,0.1754741781908492,0.4326006790091565,0.1,moderate coupling,5,mixed / modest signal
Server EMS,2016,2,2016Q2,8056.047,49.652,2,,-0.05157164295949279,,-0.07157816005983542,revenue QoQ,-0.05157164295949279,0.15587402219301966,0.4296696682912894,0.1,weak / fragmented,5,mixed / modest signal
Energy,2016,2,2016Q2,13121.582,3156.133,5,,-0.02350219492987138,,-0.03686775567375036,revenue QoQ,-0.02350219492987138,0.14110964092502204,0.4281091945377019,0.14545454545454545,weak / fragmented,18,mixed / modest signal
Server Networking,2016,2,2016Q2,12984.916,2684.356,8,,0.09664308799554197,,-0.6014935691986865,revenue QoQ,0.09664308799554197,0.12880936732507567,0.37454840821673835,0.045454545454545456,weak / fragmented,14,mixed / modest signal
DRAM,2016,2,2016Q2,4166.0,855.0,1,,-0.08900065602449159,,-0.21198156682027647,revenue QoQ,-0.08900065602449159,0.06537045537342055,0.3973439613204209,0.0,high coupling,3,mixed / modest signal
