group_3,display_name,ticker_x,db_ticker,price_rows,start,end,has_price_data
AI Chip,AMD,AMD,AMD,1620.0,2020-01-02,2026-06-12,True
AI Chip,Alchip Technologies,3661.TW,3661.TW,1563.0,2020-01-02,2026-06-15,True
AI Chip,Marvell Technology,MRVL,MRVL,1620.0,2020-01-02,2026-06-12,True
AI Chip,NVIDIA,NVDA,NVDA,1620.0,2020-01-02,2026-06-12,True
AI Chip,Qualcomm,QCOM,QCOM,1620.0,2020-01-02,2026-06-12,True
AI Platforms,Adobe,ADBE,ADBE,1620.0,2020-01-02,2026-06-12,True
AI Platforms,Cloudflare,NET,NET,1620.0,2020-01-02,2026-06-12,True
AI Platforms,Datadog,DDOG,DDOG,1620.0,2020-01-02,2026-06-12,True
AI Platforms,IBM,IBM,IBM,1620.0,2020-01-02,2026-06-12,True
AI Platforms,MongoDB,MDB,MDB,1620.0,2020-01-02,2026-06-12,True
AI Platforms,Palantir,PLTR,PLTR,1432.0,2020-09-30,2026-06-12,True
AI Platforms,Salesforce,CRM,CRM,1620.0,2020-01-02,2026-06-12,True
AI Platforms,ServiceNow,NOW,NOW,1620.0,2020-01-02,2026-06-12,True
AI Platforms,Snowflake,SNOW,SNOW,1442.0,2020-09-16,2026-06-12,True
AI Software,Baidu,BIDU,BIDU,1620.0,2020-01-02,2026-06-12,True
AI Software,Meta Platforms,META,META,1620.0,2020-01-02,2026-06-12,True
CPU,ARM Holdings,ARM,ARM,689.0,2023-09-14,2026-06-12,True
CPU,Intel,INTC,INTC,1620.0,2020-01-02,2026-06-12,True
Cooling,Alfa Laval,ALFA.ST,ALFA.ST,1621.0,2020-01-02,2026-06-15,True
Cooling,Carrier Global,CARR,CARR,1567.0,2020-03-19,2026-06-12,True
Cooling,Modine Manufacturing,MOD,MOD,1620.0,2020-01-02,2026-06-12,True
Cooling,Trane Technologies,TT,TT,1620.0,2020-01-02,2026-06-12,True
DRAM,Micron Technology,MU,MU,1620.0,2020-01-02,2026-06-12,True
DRAM,SK hynix,000660.KS,000660.KS,1579.0,2020-01-02,2026-06-15,True
DRAM,Samsung Electronics,005930.KS,005930.KS,1579.0,2020-01-02,2026-06-15,True
Energy,ABB,ABBN.SW,ABBN.SW,1621.0,2020-01-03,2026-06-15,True
Energy,Bloom Energy,BE,BE,1620.0,2020-01-02,2026-06-12,True
Energy,Brookfield Renewable,BEPC,BEPC,1479.0,2020-07-24,2026-06-12,True
Energy,Constellation Energy,CEG,CEG,1104.0,2022-01-19,2026-06-12,True
Energy,Delta Electronics,2308.TW,2308.TW,1563.0,2020-01-02,2026-06-15,True
Energy,Dominion Energy,D,D,1620.0,2020-01-02,2026-06-12,True
Energy,Eaton,ETN,ETN,1620.0,2020-01-02,2026-06-12,True
Energy,Equinix,EQIX,EQIX,1620.0,2020-01-02,2026-06-12,True
Energy,GE Vernova,GEV,GEV,555.0,2024-03-27,2026-06-12,True
Energy,Hitachi,6501.T,6501.T,1573.0,2020-01-06,2026-06-15,True
Energy,Iberdrola,IBE.MC,IBE.MC,1650.0,2020-01-02,2026-06-15,True
Energy,NextEra Energy,NEE,NEE,1620.0,2020-01-02,2026-06-12,True
Energy,RWE,RWE.DE,RWE.DE,1642.0,2020-01-02,2026-06-15,True
Energy,Schneider Electric,SU.PA,SU.PA,1652.0,2020-01-02,2026-06-15,True
Energy,Siemens Energy,ENR.DE,ENR.DE,1453.0,2020-09-29,2026-06-15,True
Energy,Southern Company,SO,SO,1620.0,2020-01-02,2026-06-12,True
Energy,Vertiv,VRT,VRT,1620.0,2020-01-02,2026-06-12,True
Energy,Vistra,VST,VST,1620.0,2020-01-02,2026-06-12,True
HW equipment,ASM International,ASM.AS,ASM.AS,1652.0,2020-01-02,2026-06-15,True
HW equipment,ASML,ASML,ASML,1620.0,2020-01-02,2026-06-12,True
HW equipment,Advantest,6857.T,6857.T,1573.0,2020-01-06,2026-06-15,True
HW equipment,Applied Materials,AMAT,AMAT,1620.0,2020-01-02,2026-06-12,True
HW equipment,BE Semiconductor Industries,BESI.AS,BESI.AS,1652.0,2020-01-02,2026-06-15,True
HW equipment,Disco,6146.T,6146.T,1573.0,2020-01-06,2026-06-15,True
HW equipment,FormFactor,FORM,FORM,1620.0,2020-01-02,2026-06-12,True
HW equipment,KLA,KLAC,KLAC,1620.0,2020-01-02,2026-06-12,True
HW equipment,Lam Research,LRCX,LRCX,1620.0,2020-01-02,2026-06-12,True
HW equipment,Lasertec,6920.T,6920.T,1573.0,2020-01-06,2026-06-15,True
HW equipment,MKS Instruments,MKSI,MKSI,1620.0,2020-01-02,2026-06-12,True
HW equipment,Onto Innovation,ONTO,ONTO,1620.0,2020-01-02,2026-06-12,True
HW equipment,Screen Holdings,7735.T,7735.T,1573.0,2020-01-06,2026-06-15,True
HW equipment,Tokyo Electron,8035.T,8035.T,1573.0,2020-01-06,2026-06-15,True
Hyperscalers,Alibaba Group,BABA,BABA,1620.0,2020-01-02,2026-06-12,True
Hyperscalers,Amazon,AMZN,AMZN,1620.0,2020-01-02,2026-06-12,True
Hyperscalers,Google,GOOGL,GOOGL,1620.0,2020-01-02,2026-06-12,True
Hyperscalers,Microsoft,MSFT,MSFT,1620.0,2020-01-02,2026-06-12,True
Hyperscalers,Oracle,ORCL,ORCL,1620.0,2020-01-02,2026-06-12,True
Hyperscalers,TCEHY,TCEHY,TCEHY,1620.0,2020-01-02,2026-06-12,True
NAND,Kioxia Holdings,285A.T,285A.T,360.0,2024-12-18,2026-06-15,True
NAND,Seagate Technology,STX,STX,1620.0,2020-01-02,2026-06-12,True
NAND,Western Digital,WDC,WDC,1620.0,2020-01-02,2026-06-12,True
