group,year,n_assets,observations,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,avg_pair_corr_yoy_change,pc1_share_yoy_change
DRAM,2020,3,12,0.8140994891152581,0.8073746968643167,0.8887672561192872,0.7461565143621703,0.8765361184662169,1.0,,
HW equipment,2020,14,12,0.7055348388069324,0.7096824671370398,0.9225625595779153,0.41793995201993744,0.7295109477623277,0.6813186813186813,,
OSAT / packiging,2020,6,12,0.5981237192684368,0.6896650745429884,0.87818952192401,0.1212418023654176,0.6910773584496543,0.5333333333333333,,
meterier,2020,8,12,0.5296960512122024,0.5778523295042083,0.9373395590484392,0.16177905519167193,0.6114375350952795,0.32142857142857145,,
Server Networking,2020,12,12,0.5052226831846418,0.5548915025706177,0.9151312299034444,-0.12722539117709217,0.565752460847923,0.24242424242424243,,
components,2020,14,12,0.49383933848961176,0.5562609710885232,0.9573589812214723,-0.15234864416136892,0.5600065636196366,0.34065934065934067,,
Cooling,2020,4,12,0.4922821514136719,0.5982951776421217,0.8595395447708611,0.006187411124737753,0.45640710422359126,0.3333333333333333,,
Energy,2020,15,12,0.4483413149588472,0.5616275818194421,0.927647405013686,-0.7553254872501204,0.5268895631301534,0.3523809523809524,,
NAND,2020,2,12,0.43642384320037664,0.43642384320037664,0.43642384320037664,0.43642384320037664,0.7182119216001883,0.0,,
AI Chip,2020,5,12,0.42129216973904615,0.4349220396676623,0.6799400059944962,0.08304761448896739,0.5468281981402792,0.1,,
AI Platforms,2020,7,12,0.40802148807137767,0.5210101519684834,0.8629170566130148,-0.28390686797048076,0.5725306223303603,0.2857142857142857,,
foundry,2020,2,12,0.3575845057346151,0.3575845057346151,0.3575845057346151,0.3575845057346151,0.6787922528673076,0.0,,
Server OEM/EMS/ODM,2020,21,12,0.3213509850870033,0.3498175008610567,0.8698187506326018,-0.6419430623318814,0.41963670579636947,0.14761904761904762,,
Hyperscalers,2020,6,12,0.3193233670216661,0.28378986392678207,0.8247114382986478,-0.2412216332760922,0.4704679584501905,0.06666666666666667,,
AI Software,2020,2,12,0.11096938946764891,0.11096938946764891,0.11096938946764891,0.11096938946764891,0.5554846947338244,0.0,,
DRAM,2021,3,12,0.7423617420973251,0.690260380224574,0.920532442115943,0.6162924039514579,0.8309184397504695,0.6666666666666666,-0.071737747017933,-0.0456176787157474
NAND,2021,2,12,0.6744331687242802,0.6744331687242802,0.6744331687242802,0.6744331687242802,0.8372165843621402,1.0,0.23800932552390353,0.11900466276195187
Cooling,2021,4,12,0.4572536807437175,0.569378103363121,0.7005332210514037,0.13158809500053215,0.6082134650837074,0.16666666666666666,-0.03502847066995435,0.15180636086011617
Hyperscalers,2021,6,12,0.29177329523017476,0.4086726743265348,0.711909078274784,-0.5554662490838196,0.46570971633621605,0.13333333333333333,-0.027550071791491326,-0.004758242113974465
Energy,2021,16,12,0.2823723693163593,0.35816968401326144,0.8996961980381759,-0.8196657720396779,0.4775074034623149,0.18333333333333332,-0.16596894564248793,-0.04938215966783854
AI Platforms,2021,9,12,0.278404419631723,0.44538383813425875,0.8541226343744565,-0.6577354888426404,0.5494270481273285,0.1388888888888889,-0.12961706843965465,-0.023103574203031885
HW equipment,2021,14,12,0.24789802249247345,0.29493666891502407,0.7973176267646602,-0.5421441053837477,0.37059528174656636,0.13186813186813187,-0.4576368163144589,-0.35891566601576136
foundry,2021,2,12,0.2421241866911375,0.2421241866911375,0.2421241866911375,0.2421241866911375,0.6210620933455687,0.0,-0.11546031904347759,-0.05773015952173888
AI Chip,2021,5,12,0.21739866707553884,0.19439444742580053,0.8256451002527695,-0.2791679728739726,0.511843498850941,0.2,-0.2038935026635073,-0.03498469928933812
meterier,2021,8,12,0.20541566678848389,0.14938165240221918,0.7223482448831919,-0.3899242753661612,0.3733360829501055,0.03571428571428571,-0.32428038442371854,-0.23810145214517403
OSAT / packiging,2021,6,12,0.17214965966854046,0.1641930393325098,0.8113454141032024,-0.3080204207920864,0.38151666589893524,0.13333333333333333,-0.4259740595998963,-0.3095606925507191
Server OEM/EMS/ODM,2021,21,12,0.11892242860853777,0.13861258510956387,0.8479567503862939,-0.7277238985443533,0.3102816279889758,0.04285714285714286,-0.20242855647846555,-0.10935507780739367
components,2021,14,12,0.1172084323099027,0.11612406999405075,0.764600794550068,-0.6147657955853375,0.26260052483632906,0.03296703296703297,-0.37663090617970907,-0.29740603878330757
Server Networking,2021,12,12,0.09848851626696639,0.1274367927412502,0.7881366520681007,-0.5813116076706858,0.2743797109664247,0.030303030303030304,-0.4067341669176754,-0.29137274988149825
AI Software,2021,2,12,-0.48598488715028065,-0.48598488715028065,-0.48598488715028065,-0.48598488715028065,0.7429924435751403,0.0,-0.5969542766179295,0.18750774884131582
DRAM,2022,3,12,0.8706509859687085,0.8619406958887601,0.8893765086687013,0.8606357533486642,0.9137898947930596,1.0,0.1282892438713834,0.08287145504259008
HW equipment,2022,14,12,0.7387310698412317,0.7898572859535996,0.9747753644707676,0.032694847499768136,0.7732960006977251,0.8131868131868132,0.49083304734875827,0.4027007189511587
